Booking ID,Customer ID,Booking Value_fill_scaled,apparent_temperature_dropoff_scaled,Ride Distance_fill_scaled,dew_point_2m_scaled,temperature_2m_dropoff_scaled,precipitation_dropoff_log_scaled,rain_dropoff_log_scaled,dew_point_2m_dropoff_scaled,apparent_temperature_scaled,pick_station_latitude,wind_speed_10m_scaled,drop_station_longitude,temperature_2m_scaled,snowfall_dropoff_log_scaled,pick_longitude,snowfall_log_scaled,relative_humidity_2m_scaled,drop_latitude,drop_longitude,pick_station_longitude,precipitation_log_scaled
"""CNR9907493""","""CID6858115""",0.0,-1.1712328,0.001143475,-0.5625,-1.2523365,0.0,0.0,-0.37414965,-1.2330827,28.54532,-0.3,77.09203,-1.2708334,0.0,76.94139,0.0,-0.023255814,28.633667,77.36926,77.12725,0.0
"""CNR1653982""","""CID4606212""",2.130866,-0.41095892,-0.35248992,-1.1180556,-0.13084112,0.0,0.0,-0.42857143,-1.6015037,34.11283,-0.6666667,77.06822,-1.7291666,0.0,77.154465,0.0,-0.39534885,28.541384,77.15474,73.96285,0.0
"""CNR3151351""","""CID5996744""",0.003027254,0.9931507,-0.000467298,0.7013889,1.4018692,0.0,0.0,0.14965986,0.8947368,12.99032,-0.3,77.21239,0.75,0.0,77.027115,0.0,-0.046511628,28.55001,77.185616,80.26611,0.09531018
"""CNR5839286""","""CID6748555""",-1.388936,0.02739726,-0.075589985,-0.5555556,0.41121495,0.0,0.0,-0.37414965,-0.030075189,28.667273,-0.26666668,77.18891,0.38541666,0.0,85.37415,0.0,-0.9767442,28.619066,77.36427,77.228546,0.0
"""CNR7329923""","""CID6785564""",1.2546284,0.07534247,-0.24865244,-0.3263889,0.24299066,0.0,0.0,-0.054421768,0.22556391,18.587704,-0.5833333,77.20505,0.625,0.0,77.1093,0.0,-0.9302326,28.54337,77.20505,73.73794,0.0
"""CNR5096969""","""CID9641648""",1.9377967,-0.6712329,-0.5661844,-0.5,-0.5607477,0.0,0.0,-0.6530612,-0.84210527,29.03693,-0.81666666,77.22179,-0.8125,0.0,77.21854,0.0,-0.3255814,28.48333,77.3,77.23971,0.0
"""CNR1876873""","""CID7009586""",-0.70081717,0.47260275,-1.5684417,0.6180556,0.39252338,0.09531018,0.09531018,0.70068026,0.5037594,28.466677,-0.23333333,77.36926,0.38541666,0.0,78.455284,0.0,0.1627907,28.680502,77.298485,77.51005,0.78845733
"""CNR5989915""","""CID3511989""",-0.49784687,0.23287672,1.7347938,0.5486111,0.10280374,0.0,0.0,0.6938776,0.02255639,26.843367,1.5,77.21747,-0.052083332,0.0,81.49035,0.0,0.5116279,27.878363,78.085045,80.94392,0.09531018
"""CNR2199660""","""CID9484653""",0.013549859,0.31506848,-0.001031591,-0.6041667,0.88785046,0.0,0.0,-0.7755102,0.2932331,28.462242,-0.15,77.24855,0.8020833,0.0,77.10045,0.0,-1.1395348,28.652773,77.09812,77.03112,0.0
"""CNR9224561""","""CID3216643""",0.18037094,-1.1369863,0.5963438,-0.8125,-1.2990655,0.0,0.0,-0.19727892,-1.8045113,32.69978,-0.41666666,77.31175,-1.9895834,0.0,77.30163,0.0,0.3488372,28.567442,77.20963,75.49758,0.18232156
"""CNR6004179""","""CID8334788""",0.0,0.14383562,0.001143475,-0.6180556,0.60747665,0.0,0.0,-0.3809524,0.12781955,28.466677,0.8,77.21747,0.7395833,0.0,77.154465,0.0,-1.1162791,18.541842,73.77313,77.51005,0.0
"""CNR2848883""","""CID8775285""",-0.81467855,0.8287671,-0.9973357,-0.11805556,1.4859813,0.0,0.0,-0.020408163,0.84962404,28.645643,2.6,77.116035,1.6041666,0.0,77.23014,0.0,-1.1162791,28.98153,77.71799,77.12701,0.0
"""CNR4912613""","""CID5335845""",-0.013278072,-0.39726028,0.028481131,0.5208333,-0.57009345,0.0,0.0,0.27891156,-0.030075189,12.936003,0.2,77.09568,-0.21875,0.0,77.20505,0.0,0.6744186,28.4121,77.04708,80.19941,0.0
"""CNR3091563""","""CID7525082""",-2.250322,-1.0547945,0.011693689,0.3472222,-1.1588784,0.0,0.0,-0.24489796,-0.13533835,12.24375,-0.06666667,77.2048,-0.25,0.0,77.51005,0.0,0.39534885,28.680502,77.298485,79.84308,0.0
"""CNR3829594""","""CID7444128""",0.025039341,0.8150685,0.0,0.7083333,0.7009346,0.0,0.0,0.8367347,0.85714287,28.67082,-0.33333334,77.21962,0.7708333,0.0,78.55041,0.0,-0.046511628,27.87513,78.27917,77.27208,0.0
"""CNR5919824""","""CID2253436""",-0.29982707,-1.1780822,0.3781346,-0.8611111,-1.1121495,0.0,0.0,-0.81632656,-1.0,22.72423,0.13333334,77.32716,-0.8125,0.0,91.78166,0.0,-0.6976744,25.02454,86.17708,75.89747,0.0
"""CNR7419994""","""CID8387084""",-1.0473518,-1.1780822,-0.585748,-0.5972222,-1.2616823,0.0,0.0,-0.27210885,-1.5037594,30.318413,-0.8833333,77.31239,-1.6875,0.0,87.86786,0.0,0.37209302,28.65335,77.18854,78.06895,0.0
"""CNR4275770""","""CID9551356""",-1.859233,0.53424656,0.9093611,0.7777778,0.19626169,0.0,0.0,0.91156465,0.5338346,27.888742,-0.81666666,78.3989,0.20833333,0.0,77.24662,0.0,0.627907,28.44638,77.09203,78.06266,0.0
"""CNR1249921""","""CID9145303""",-0.39388648,0.36301368,-1.0439873,-0.3263889,0.5046729,0.0,0.0,0.21768707,0.43609023,30.15834,0.7,77.33438,1.03125,0.0,73.02278,0.0,-1.0465117,28.489101,77.01119,74.92835,0.0
"""CNR5390495""","""CID6154940""",-1.2651736,0.39726028,-0.32765922,-0.20833333,0.8411215,0.0,0.0,-0.1292517,0.2857143,28.52202,0.76666665,79.66586,0.78125,0.0,78.455284,0.0,-0.90697676,28.565979,77.25081,77.20925,0.0
"""CNR5952656""","""CID7746814""",-0.013278072,0.4520548,0.028481131,0.5833333,0.1495327,0.18232156,0.18232156,0.8367347,0.21804512,12.24375,-0.21666667,82.06294,0.03125,0.0,77.227715,0.0,0.4883721,27.182247,77.995,79.84308,0.0
"""CNR3751120""","""CID3789660""",-0.35428253,-0.43835616,1.2660203,-0.5416667,-0.55140185,0.0,0.0,0.2244898,-1.3984963,31.95845,-0.7,77.18854,-1.5520834,0.0,75.19563,0.0,0.3255814,28.572424,77.2586,77.10925,0.0
"""CNR9067233""","""CID9970241""",-2.0968568,-0.60958904,-0.1470723,-0.43055555,-0.55140185,0.0,0.0,-0.33333334,-0.90225565,28.683449,-0.6,77.23981,-0.8958333,0.0,77.17898,0.0,-0.1627907,27.7106,77.08396,77.017136,0.0
"""CNR4065133""","""CID7152206""",0.013829263,0.08219178,0.001991443,-0.2638889,0.5233645,0.0,0.0,-0.7210884,0.36842105,21.511913,-0.13333334,77.267715,0.75,0.0,77.02975,0.0,-0.9302326,12.979087,77.567856,70.463905,0.0
"""CNR8228394""","""CID9571170""",0.07146005,-0.43150684,-0.40365618,-0.020833332,-0.48598132,0.0,0.0,0.14965986,-0.60902256,28.452974,-0.083333336,77.31551,-0.6458333,0.0,77.267715,0.0,0.20930232,28.584036,77.217735,77.49596,0.0
"""CNR7610861""","""CID2339913""",0.013549859,0.65753424,-0.001031591,0.7430556,0.42990655,0.09531018,0.09531018,0.877551,0.6766917,28.690004,-0.016666668,77.08953,0.5208333,0.0,77.184494,0.0,0.23255815,28.71511,77.116035,77.219734,0.09531018
"""CNR6736405""","""CID4933879""",4.665519,0.09589041,-1.4563274,-0.5625,0.37383178,0.0,0.0,-0.054421768,-0.48120302,28.512955,-0.016666668,73.73794,-0.32291666,0.0,78.4231,0.0,-0.6976744,23.263206,77.42754,77.20395,0.0
"""CNR1688931""","""CID8264700""",0.013829263,-1.3561643,0.001991443,-0.5,-1.5046729,0.0,0.0,-0.33333334,-1.2631578,23.817621,-0.3,82.06294,-1.34375,0.0,77.51005,0.0,0.1627907,28.52542,77.18773,85.82612,0.0
"""CNR4088932""","""CID5149871""",0.013549859,-0.51369864,-0.001031591,0.47916666,-0.5140187,0.0,0.0,-0.054421768,0.015037594,12.24375,-0.23333333,77.202965,-0.15625,0.0,78.00002,0.0,0.53488374,24.09749,77.2684,79.84308,0.0
"""CNR8628982""","""CID2069972""",0.003027254,-0.20547946,-0.000467298,-0.5694444,-0.08411215,0.0,0.0,-0.006802721,-1.3157895,26.5088,1.4166666,78.4231,-1.2291666,0.0,77.186935,0.0,-0.069767445,31.95845,77.10925,81.49035,0.0
"""CNR2194335""","""CID3284539""",0.025039341,0.28082192,0.0,0.625,-0.028037382,0.0,0.0,0.7619048,0.2556391,28.679125,-1.1,77.20781,-0.041666668,0.0,77.01119,0.0,0.6511628,28.203962,76.858475,77.09597,0.09531018
"""CNR9684874""","""CID6465816""",0.91799474,-0.6369863,1.2539811,-0.9444444,-0.635514,0.0,0.0,-0.07482993,-0.80451125,22.758848,-0.05,77.147964,-0.53125,0.0,72.83629,0.0,-0.90697676,28.655672,77.22989,75.88185,0.0
"""CNR9079309""","""CID5388220""",-0.42358944,0.3561644,1.228398,0.625,0.2897196,0.87546873,0.87546873,0.72789115,0.39097744,28.65335,1.7666667,77.04708,0.40625,0.0,77.22837,0.0,0.1627907,28.36005,76.94139,77.18854,0.0
"""CNR2639534""","""CID1016051""",-1.359233,-0.9931507,-0.43300158,-0.4513889,-0.97196263,0.0,0.0,-0.40816328,-1.037594,28.623646,0.016666668,77.20925,-1.0208334,0.0,85.148,0.0,-0.093023255,17.987476,79.60039,77.21312,0.0
"""CNR4508740""","""CID7118319""",2.7793808,0.30821916,0.8476606,0.6597222,0.08411215,0.0,0.0,0.76870745,0.2631579,30.69881,-0.7,77.08396,-0.020833332,0.0,77.93497,0.0,0.6976744,12.99032,80.26611,76.73144,0.09531018
"""CNR3604562""","""CID1269661""",0.003027254,-0.47260275,-0.000467298,-1.0416666,-0.056074765,0.0,0.0,-0.91156465,-0.56390977,28.594776,0.13333334,77.18891,-0.16666667,0.0,77.35582,0.0,-1.0930233,28.565979,77.25081,77.18921,0.0
"""CNR7519096""","""CID3559169""",0.013829263,0.2260274,0.001991443,-0.2013889,0.38317758,0.0,0.0,0.13605443,-0.22556391,22.598003,-1.0,80.19941,-0.20833333,0.0,77.09568,0.0,-0.41860464,24.20033,77.74993,88.372955,0.0
"""CNR4613857""","""CID1538213""",-1.3641835,-0.24657534,-0.3607668,-0.5763889,-0.1588785,0.0,0.0,-0.3469388,-0.32330826,28.655447,0.41666666,77.04708,-0.114583336,0.0,87.09006,0.0,-0.81395346,28.655447,77.14844,77.14844,0.0
"""CNR2075285""","""CID5381731""",-0.086955786,0.2260274,1.895817,-0.5486111,0.6635514,0.0,0.0,-0.2244898,0.45864663,28.598492,0.8333333,77.33438,1.0104166,0.0,79.84308,0.0,-1.1627907,27.19852,77.99873,77.202965,0.0
"""CNR1863073""","""CID7493644""",-1.9433914,0.60958904,0.50454545,0.75,0.41121495,0.0,0.0,0.8707483,0.60902256,28.549183,0.18333334,77.267715,0.4375,0.0,79.523674,0.0,0.30232558,28.56103,77.20419,77.25323,0.0
"""CNR3784194""","""CID5010079""",-1.4235895,0.9109589,0.57602775,-0.8888889,1.7196262,0.0,0.0,-0.61904764,1.0150375,28.646313,1.7833333,76.94139,2.0104167,0.0,83.39183,0.0,-1.3953488,22.552914,88.30068,77.306725,0.0
"""CNR9567683""","""CID9027959""",-1.1463617,0.41095892,-1.6572303,-1.0555556,1.1401869,0.0,0.0,-0.7823129,0.40601504,23.35036,0.8333333,77.14844,1.09375,0.0,77.09568,0.0,-1.3255814,28.64031,77.093506,85.3098,0.0
"""CNR8092223""","""CID5416957""",0.013829263,0.6849315,0.001991443,0.6597222,0.49532712,0.0,0.0,0.8503401,0.42105263,26.14163,0.0,86.38792,0.25,0.0,77.20419,0.0,0.37209302,28.653786,77.31225,91.78166,0.26236427
"""CNR7161820""","""CID1029421""",0.0,0.7328767,0.001143475,-0.2013889,1.1962616,0.0,0.0,-0.040816326,0.7669173,28.653786,-0.15,77.35616,1.3541666,0.0,77.238174,0.0,-1.0930233,28.52982,77.36168,77.31225,0.0
"""CNR1607053""","""CID8787616""",0.003027254,0.5479452,-0.000467298,0.7083333,0.6542056,0.0,0.0,0.5442177,0.6315789,25.26761,1.5833334,76.94139,0.6354167,0.0,76.98401,0.0,0.069767445,28.462242,77.03112,85.76385,0.09531018
"""CNR9718557""","""CID7956726""",-0.7602231,0.26027396,-1.5278097,0.6041667,-0.046728972,0.0,0.0,0.7755102,0.09774436,25.142712,0.8666667,77.23378,-0.0625,0.0,77.3245,0.0,0.627907,28.52542,77.18773,78.39429,1.5040774
"""CNR6118093""","""CID6060730""",-1.6265597,0.047945205,1.0688795,0.25,0.07476635,0.0,0.0,0.3537415,0.05263158,28.669952,0.06666667,76.94139,0.104166664,0.0,81.77163,0.0,-0.11627907,28.672995,77.146126,77.09568,0.0
"""CNR4112418""","""CID2765971""",-1.9681439,0.56164384,-1.0635508,0.6527778,0.43925235,0.0,0.0,0.76870745,0.24060151,19.129297,1.5666667,77.09678,0.15625,0.0,77.15298,0.0,0.4651163,18.587704,73.73794,72.86011,1.0986123
"""CNR1404682""","""CID2500945""",-0.7701241,-0.8150685,1.5496922,-0.3888889,-0.8317757,0.0,0.0,-0.2993197,-0.97744364,28.633667,-0.7,77.18773,-1.0208334,0.0,77.12283,0.0,0.0,28.482359,77.094734,77.36926,0.0
"""CNR8801298""","""CID5468184""",-1.5374508,-0.4520548,0.24495177,0.21527778,-0.5794392,0.0,0.0,0.24489796,-0.45864663,23.817621,-0.85,77.12283,-0.6666667,0.0,77.08123,0.0,0.6511628,25.471924,81.44851,85.82612,0.0
"""CNR1637661""","""CID2372869""",-2.0869558,-0.19178082,-0.8220159,-0.6527778,0.11214954,0.0,0.0,-0.5102041,-0.2706767,28.646723,-0.31666666,77.192215,0.09375,0.0,77.55332,0.0,-0.95348835,28.655447,77.14844,77.30163,0.0
