source_id,longitude,latitude,uber_loc,address,region,county,locality
way/701576004,77.321312,28.675872,Dilshad Garden,"Dilshad Garden, Delhi, India",Delhi,South West Delhi,Delhi
way/764108576,77.313283,28.680287,Dilshad Garden,"DGD Dilshad Garden, Delhi, India",Delhi,South West Delhi,Delhi
node/6546811518,77.311692,28.67588,Dilshad Garden,"Dilshad Garden GT Road, Delhi, India",Delhi,South West Delhi,Delhi
node/5818161659,77.324501,28.679252,Dilshad Garden,"Dilshad Garden J & K Block, Delhi, India",Delhi,South West Delhi,Delhi
way/349818075,77.057951,28.425139,Dilshad Garden,"B-block Mayfield Garden, Gurugram, HR, India",Haryana,Gurugram,Gurugram
polyline:29595308,77.203946,28.512954,IGNOU Road,"IGNOU Road, Delhi, India",Delhi,South West Delhi,Delhi
polyline:29595262,77.1973,28.501588,IGNOU Road,"IGNOU Road, Delhi, India",Delhi,South West Delhi,Delhi
1343706211,77.59341,24.62422,Shahdara,"Shahdaura, MP, India",Madhya Pradesh,Ashoknagar,Shahdaura
1343437735,74.34525,33.55273,Shahdara,"Shahdara, India",Jammu and Kashmir,Rajouri,Shahdara
1327455481,74.05252,33.95137,Shahdara,"Shahdara, JK, India",Azad Kashmir,Bagh,Shahdara
1293665885,73.96285,34.11283,Shahdara,"Shahdara, India",Jammu and Kashmir,Baramulla,Shahdara
1276488575,79.0356,28.97759,Shahdara,"Shahdara, UP, India",Uttar Pradesh,Rampur,Shahdara
102030855,76.931707,28.692435,Bahadurgarh,"Bahadurgarh, HR, India",Haryana,Jhajjar,Bahadurgarh
1327387303,77.79459,26.38332,Bahadurgarh,"Bahadurgarh, MP, India",Madhya Pradesh,Morena,Bahadurgarh
1326869329,83.39183,27.11602,Bahadurgarh,"Bahadurgarh, UP, India",Uttar Pradesh,Maharajganj,Bahadurgarh
1310554259,77.74172,29.21452,Bahadurgarh,"Bahadurgarh, UP, India",Uttar Pradesh,Muzaffarnagar,Bahadurgarh
1293839979,76.39385,30.66624,Bahadurgarh,"Bahadurgarh, PB, India",Punjab,Fatehgarh Sahib,Bahadurgarh
node/438033023,77.068221,28.477172,IFFCO Chowk,"IFFCO Chowk, Gurugram, HR, India",Haryana,Gurugram,Gurugram
node/7018301882,77.072422,28.472328,IFFCO Chowk,"IFFCO Chowk Metro Station, Gurugram, HR, India",Haryana,Gurugram,Gurugram
node/7883930540,77.072243,28.47161,IFFCO Chowk,"Iffco Chowk Metro Station Gate No 2, Gurugram, HR, India",Haryana,Gurugram,Gurugram
node/7883930541,77.072723,28.472233,IFFCO Chowk,"Iffco Chowk Metro Station Gate No 1, Gurugram, HR, India",Haryana,Gurugram,Gurugram
node/7507287586,82.062945,25.536083,IFFCO Chowk,"Iffco Hospital, UP, India",Uttar Pradesh,Allahabad,
polyline:31580734,77.495958,28.452974,Noida Extension,"Noida-Greater Noida Expressway, Greater Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Greater Noida
polyline:31582413,77.398824,28.503459,Noida Extension,"Noida-Greater Noida Expressway, Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Noida
polyline:31582375,77.361678,28.52982,Noida Extension,"Greater Noida Expressway, Noida, UP, India",Uttar Pradesh,Gautam Buddha Nagar,Noida
node/6547772110,77.162658,28.725972,Jahangirpuri,"Jahangirpuri, Delhi, India",Delhi,South West Delhi,Delhi
way/1136674906,77.175208,28.733716,Jahangirpuri,"Police Station Jahangirpuri, Delhi, India",Delhi,South West Delhi,Delhi
relation/3888868,77.165599,28.742703,Jahangirpuri,"Bhalswa Jahangirpuri, Delhi, India",Delhi,South West Delhi,Delhi
relation/3907686,77.175861,28.724057,Jahangirpuri,"Jahangirpuri Colony, Delhi, India",Delhi,South West Delhi,Delhi
relation/3888867,77.159073,28.736037,Jahangirpuri,"Bhalswa Jahangirpuri, Delhi, India",Delhi,South West Delhi,Delhi
1779890059,80.34791,25.46445,Shastri Nagar,"Shastri Nagar, Banda, UP, India",Uttar Pradesh,Banda,Banda
890500821,80.26028,12.99667,Shastri Nagar,"Shasthri Nagar, Chennai, TN, India",Tamil Nadu,Chennai,Chennai
85931247,73.89728,18.552377,Shastri Nagar,"Shastri Nagar, Pune, MH, India",Maharashtra,Pune,Pune
node/1988598418,77.115385,28.714957,Rohini West,"Rohini West, Delhi, India",Delhi,South West Delhi,Delhi
node/8042861164,77.116034,28.715111,Rohini West,"Organic India Rohini West, Delhi, India",Delhi,South West Delhi,Delhi
way/825169112,77.115441,28.714873,Rohini West,"Rohini West Metro station, Delhi, India",Delhi,South West Delhi,Delhi
12069922,77.06778,28.74322,Rohini West,"Rohini, Delhi, India",Delhi,South West Delhi,Delhi
node/6173579389,74.87468,20.371132,Rohini West,"Rohini, MH, India",Maharashtra,Jalgaon,
polyline:29593138,77.105341,28.429297,Golf Course Road,"Golf Course Road, Gurugram, HR, India",Haryana,Gurugram,Gurugram
polyline:29960001,77.019591,10.921869,Golf Course Road,"Golf Course Road, TN, India",Tamil Nadu,Coimbatore,
node/7138534297,77.212246,28.664396,Pulbangash,"DGD Pulbangash, Delhi, India",Delhi,South West Delhi,Delhi
node/663766390,77.125969,28.707901,Rohini East,"Rohini East, Delhi, India",Delhi,South West Delhi,Delhi
way/556039267,77.125374,28.706784,Rohini East,"Rohini east community park, Delhi, India",Delhi,South West Delhi,Delhi
12069922,77.06778,28.74322,Rohini East,"Rohini, Delhi, India",Delhi,South West Delhi,Delhi
node/6173579389,74.87468,20.371132,Rohini East,"Rohini, MH, India",Maharashtra,Jalgaon,
node/1988598418,77.115385,28.714957,Rohini East,"Rohini West, Delhi, India",Delhi,South West Delhi,Delhi
polyline:22305037,78.466188,17.376458,Panchsheel Park,"Panchsheel, Hyderabad, TG, India",Telangana,Hyderabad,Hyderabad
polyline:29837006,72.857128,19.178511,Panchsheel Park,"Panchsheel, Mumbai, MH, India",Maharashtra,Mumbai City,Mumbai
polyline:29594709,77.192218,28.596621,Panchsheel Park,"Panchsheel Marg, Delhi, India",Delhi,South West Delhi,Delhi
polyline:29595453,77.180843,28.601865,Panchsheel Park,"Panchsheel Marg, Delhi, India",Delhi,South West Delhi,Delhi
polyline:20313959,79.487357,29.176234,Panchsheel Park,"Panchsheel Colony, UT, India",Uttarakhand,Nainital,
way/256583527,77.094349,28.481041,Sikanderpur,"Sikanderpur, Gurugram, HR, India",Haryana,Gurugram,Gurugram
polyline:29593264,77.094734,28.482359,Sikanderpur,"Sikanderpur Underpass, Gurugram, HR, India",Haryana,Gurugram,Gurugram
node/10064542582,77.093901,28.480335,Sikanderpur,"Sikanderpur Metro Station, Gurugram, HR, India",Haryana,Gurugram,Gurugram
way/267001567,77.096781,28.504114,Ambience Mall,"Ambience Mall, Gurugram, HR, India",Haryana,Gurugram,Gurugram
polyline:22304691,78.423101,17.37114,Ambience Mall,"ambience Road, Hyderabad, TG, India",Telangana,Hyderabad,Hyderabad
way/179846605,77.1551,28.541252,Ambience Mall,"Ambience Mall, Delhi, India",Delhi,South West Delhi,Delhi
node/8014344672,77.154739,28.541383,Ambience Mall,"Inisfree, Ambience Mall, Delhi, India",Delhi,South West Delhi,Delhi
polyline:19528348,77.753185,31.202639,Ambience Mall,"Mall Road, HP, India",Himachal Pradesh,Shimla,
polyline:31580687,77.027079,28.458618,Sohna Road,"Sohna Road, Gurugram, HR, India",Haryana,Gurugram,Gurugram
polyline:20054527,76.284132,29.851862,Sohna Road,"SOHNA ROAD, HR, India",Haryana,Kaithal,
node/7624464956,77.029158,28.43885,Sohna Road,"Kendriya Vidyalaya No.2 Sohna Road, Gurugram, HR, India",Haryana,Gurugram,Gurugram
polyline:19655163,75.654295,30.552355,Sohna Road,"sohna fojji d gali, PB, India",Punjab,Barnala,
10246041,77.04708,28.4121,Sohna Road,"Oyo Rooms Premium Sohna Road, Gurugram, HR, India",Haryana,Gurugram,Gurugram
polyline:29595356,77.109298,28.616185,Satguru Ram Singh Marg,"Satguru Ram Singh Marg, Delhi, India",Delhi,South West Delhi,Delhi
polyline:29594866,77.148434,28.655447,Satguru Ram Singh Marg,"Satguru Ram Singh Marg, Delhi, India",Delhi,South West Delhi,Delhi
polyline:29594844,77.140546,28.646411,Satguru Ram Singh Marg,"Satguru Ram Singh Marg, Delhi, India",Delhi,South West Delhi,Delhi
polyline:29594873,77.130413,28.637439,Satguru Ram Singh Marg,"Satguru Ram Singh Marg, Delhi, India",Delhi,South West Delhi,Delhi
polyline:20404975,77.298484,28.680502,Mansarovar Park,"Mansarovar Marg, Delhi, India",Delhi,South West Delhi,Delhi
polyline:21278149,72.616272,22.998156,Mansarovar Park,"Mansarovar Road, Ahmedabad, GJ, India",Gujarat,Ahmadabad,Ahmedabad
node/1435294693,73.080655,19.016434,Mansarovar Park,"Mansarovar, MH, India",Maharashtra,Raigarh,
polyline:29835862,73.09239,19.024434,Mansarovar Park,"Mansarovar Station Road, Kalamboli, MH, India",Maharashtra,Raigarh,Kalamboli
polyline:29645384,75.773825,26.869485,Mansarovar Park,"Mansarovar Link Road, Jaipur, RJ, India",Rajasthan,Jaipur,Jaipur
85927889,77.139422,28.661482,Moti Nagar,"Moti Nagar, Delhi, India",Delhi,South West Delhi,Delhi
node/1988513583,77.247211,28.616039,Pragati Maidan,"Pragati Maidan, Delhi, India",Delhi,South West Delhi,Delhi
way/28103691,77.243964,28.616731,Pragati Maidan,"Pragati Maidan Redevelopment, Delhi, India",Delhi,South West Delhi,Delhi
6619402,77.24135,28.6167,Pragati Maidan,"Pragati Maiden, Delhi, India",Delhi,South West Delhi,Delhi
85927907,77.243499,28.618669,Pragati Maidan,"Pragati Maidan, Delhi, India",Delhi,South West Delhi,Delhi
node/6362609786,77.250189,28.615983,Pragati Maidan,"Pragati Power Station, Delhi, India",Delhi,South West Delhi,Delhi
85928039,77.093503,28.64031,Tilak Nagar,"Tilak Nagar, Delhi, India",Delhi,South West Delhi,Delhi
85933613,76.650662,12.310491,Tilak Nagar,"Tilak Nagar, Mysore, KA, India",Karnataka,Mysore,Mysore
85934539,75.819821,26.891545,Tilak Nagar,"Tilak Nagar, Jaipur, RJ, India",Rajasthan,Jaipur,Jaipur
85931501,72.892893,19.067684,Tilak Nagar,"Tilak Nagar, Mumbai, MH, India",Maharashtra,Mumbai City,Mumbai
node/6548798521,77.11282,28.643727,Tagore Garden,"Tagore Garden, Delhi, India",Delhi,South West Delhi,Delhi
890509467,77.114796,28.651578,Tagore Garden,"Tagore Garden metro station, Delhi, India",Delhi,South West Delhi,Delhi
polyline:22653295,78.714822,10.852782,Tagore Garden,"Tagore Street, TN, India",Tamil Nadu,Tiruchirappalli,
polyline:20405294,77.227846,28.639739,Tagore Garden,"Tagore Road, Delhi, India",Delhi,South West Delhi,Delhi
polyline:21995134,72.836285,19.0829,Tagore Garden,"Tagore Road, Mumbai, MH, India",Maharashtra,Mumbai City,Mumbai
node/6485904396,77.194555,28.547012,IIT Delhi,"IIT Delhi, Delhi, India",Delhi,South West Delhi,Delhi
way/510367286,77.188601,28.545495,IIT Delhi,"IIT Hospital, Delhi, India",Delhi,South West Delhi,Delhi
way/1095293727,77.194973,28.546102,IIT Delhi,"IIT Metro, Delhi, India",Delhi,South West Delhi,Delhi
way/358793752,77.187933,28.54579,IIT Delhi,"IIT Chemist, Delhi, India",Delhi,South West Delhi,Delhi
node/5026495366,77.185616,28.550011,IIT Delhi,"IIT Hostel, Delhi, India",Delhi,South West Delhi,Delhi
890502101,79.184,22.95078,Narsinghpur,"Narsinghpur, MP, India",Madhya Pradesh,Narsinghpur,Narsinghpur
1360223959,82.31431,26.94949,Narsinghpur,"Narsinghpur, UP, India",Uttar Pradesh,Basti,Narsinghpur
1344202401,85.76385,25.26761,Narsinghpur,"Narsinghpur, BR, India",Bihar,Nalanda,Narsinghpur
1344001155,83.17844,25.91427,Narsinghpur,"Narsinghpur, UP, India",Uttar Pradesh,Azamgarh,Narsinghpur
1343996751,81.23209,20.39784,Narsinghpur,"Narsinghpur, CT, India",Chhattisgarh,Kanker,Narsinghpur
1360242101,78.48685,12.51609,RK Puram,"Puram, TN, India",Tamil Nadu,Vellore,Puram
1360239943,78.05866,12.3455,RK Puram,"Puram, TN, India",Tamil Nadu,Dharmapuri,Puram
1293249581,77.93497,12.54443,RK Puram,"Puram, TN, India",Tamil Nadu,Krishnagiri,Puram
polyline:29800679,72.792083,21.210126,Shastri Park,"Shastri Marg, Surat, GJ, India",Gujarat,Surat,Surat
polyline:31777798,76.527143,9.592076,Shastri Park,"Shastri Road, Kottayam, KL, India",Kerala,Kottayam,Kottayam
polyline:22816504,76.973195,8.483991,Shastri Park,"Shastri Nagar, Thiruvananthapuram, KL, India",Kerala,Thiruvananthapuram,Thiruvananthapuram
polyline:29864513,79.135717,18.432282,Shastri Park,"Shastri Road, Karimnagar, TG, India",Telangana,Karimnagar,Karimnagar
polyline:31664590,82.544857,25.155715,Shastri Park,"Shastri Bridge, UP, India",Uttar Pradesh,Mirzapur,
polyline:29594646,77.23724,28.652094,Netaji Subhash Place,"Netaji Subhash Marg, Delhi, India",Delhi,South West Delhi,Delhi
polyline:20768111,88.191588,26.256574,Netaji Subhash Place,"Netaji Subhash Road, Islampur, WB, India",West Bengal,Uttar Dinajpur,Islampur
polyline:22125712,73.843302,18.552045,Netaji Subhash Place,"Netaji Subhash Marg, Pune, MH, India",Maharashtra,Pune,Pune
polyline:29783584,88.349957,22.579663,Netaji Subhash Place,"Netaji Subhash Road, Kolkata, WB, India",West Bengal,Kolkata,Kolkata
polyline:21343170,88.313466,22.502951,Netaji Subhash Place,"Netaji Subhash Road, Kolkata, WB, India",West Bengal,Kolkata,Kolkata
node/5444544052,80.03546,16.241193,Hero Honda Chowk,"Hero yerramsetty hero motors, Narasaraopet, AP, India",Andhra Pradesh,Guntur,Narasaraopet
way/803835191,75.409719,12.028563,Hero Honda Chowk,"hero plywood, KL, India",Kerala,Kannur,
node/5798428854,76.349066,10.101609,Hero Honda Chowk,"Hero Motors, Aluva, KL, India",Kerala,Ernakulam,Aluva
node/4541129024,83.328791,17.74276,Hero Honda Chowk,"Hero MotoCorp, Visakhapatnam, AP, India",Andhra Pradesh,Visakhapatnam,Visakhapatnam
node/7462616375,76.357263,9.967606,Hero Honda Chowk,"Hero, KL, India",Kerala,Ernakulam,
890505015,92.59606,24.86852,Badarpur,"Badarpur, AS, India",Assam,Hailakandi,Badarpur
1327222453,77.09335,29.96275,Badarpur,"Badarpur, HR, India",Haryana,Kurukshetra,Badarpur
1310480167,77.12799,29.85327,Badarpur,"Badarpur, HR, India",Haryana,Karnal,Badarpur
1293728497,77.12102,24.42977,Badarpur,"Badarpur, MP, India",Madhya Pradesh,Guna,Badarpur
1293541817,79.07261,28.04102,Badarpur,"Badarpur, UP, India",Uttar Pradesh,Budaun,Badarpur
polyline:31582569,77.400277,28.685628,Raj Nagar Extension,"Raj Nagar Extension Elevated Road, Ghaziabad, UP, India",Uttar Pradesh,Ghaziabad,Ghaziabad
node/268381455,77.107181,28.720806,Rithala,"Rithala, Delhi, India",Delhi,South West Delhi,Delhi
1511390589,77.10269,28.72009,Rithala,"Rithala, Delhi, India",Delhi,South West Delhi,Delhi
10263159,77.10269,28.72009,Rithala,"Rithāla, DL, India",Delhi,South West Delhi,Rithāla
way/171656374,77.100448,28.719612,Rithala,"Rithala Village, Delhi, India",Delhi,South West Delhi,Delhi
node/5743508842,77.295538,28.61335,Mayur Vihar,"Mayur Vihar, Delhi, India",Delhi,South West Delhi,Delhi
polyline:20313132,79.502702,29.20956,Mayur Vihar,"Mayur Vihar, Haldwani, UT, India",Uttarakhand,Nainital,Haldwani
way/492998199,77.427543,23.263206,Mayur Vihar,"Mayur Vihar, Bhopal, MP, India",Madhya Pradesh,Bhopal,Bhopal
way/800825105,76.225979,10.54404,Mayur Vihar,"mayur vihar, Thrissur, KL, India",Kerala,Thrissur,Thrissur
way/696181173,77.294624,28.594192,Mayur Vihar,"Mayur Vihar Extension, Delhi, India",Delhi,South West Delhi,Delhi
polyline:29488444,76.744217,30.760214,DLF City Court,"DLF Mullanpur, Chandigarh, India",Chandigarh,Chandigarh,Chandigarh
way/318947538,77.096646,28.496555,DLF City Court,"Cognizant Technology Solutions, Building 6,Tower C, DLF Cyber City, Gurugram, HR, India",Haryana,Gurugram,Gurugram
polyline:20459733,77.081922,28.467755,DLF City Court,"DLF Galleria Road, Gurugram, HR, India",Haryana,Gurugram,Gurugram
polyline:20460068,77.093951,28.494768,DLF City Court,"DLF Cybercity footpath, Gurugram, HR, India",Haryana,Gurugram,Gurugram
polyline:22574308,77.617245,12.875983,DLF City Court,"DLF Main Road, Bangalore, KA, India",Karnataka,Bangalore,Bangalore
102028553,82.071838,26.263978,Sultanpur,"Sultanpur, UP, India",Uttar Pradesh,Sultanpur,Sultanpur
102029629,77.10925,31.95845,Sultanpur,"Sultanpur, HP, India",Himachal Pradesh,Kulu,Sultanpur
890501323,75.19563,31.21448,Sultanpur,"Sultanpur Lodhi, PB, India",Punjab,Kapurthala,Sultanpur Lodhi
890505955,77.93476,23.13664,Sultanpur,"Sultanpur, MP, India",Madhya Pradesh,Raisen,Sultanpur
890504491,78.10894,29.75603,Sultanpur,"Sultanpur, UT, India",Uttarakhand,Haridwar,Sultanpur
polyline:29882818,79.596489,17.989668,MG Road,"MG road, Warangal, TG, India",Telangana,Warangal,Warangal
polyline:21342987,88.370492,22.740589,MG Road,"MG Road, Titagarh, WB, India",West Bengal,24 Parganas North,Titagarh
polyline:21104894,84.3684,24.75038,MG Road,"M.G Road, Aurangabad, BR, India",Bihar,Aurangabad,Aurangabad
polyline:29865764,72.964755,18.330216,MG Road,"MG Road, Murud, MH, India",Maharashtra,Raigarh,Murud
polyline:29882760,79.622889,17.148443,MG Road,"MG road, Suryapet, TG, India",Telangana,Nalgonda,Suryapet
node/927873494,77.0867,28.556463,IGI Airport,"IGI Airport, Delhi, India",Delhi,South West Delhi,Delhi
10303254,77.12725,28.54532,IGI Airport,"Aura Igi Airport, Delhi, India",Delhi,South West Delhi,Delhi
node/2833058753,77.122657,28.564835,IGI Airport,"Terminal 1 IGI Airport, Delhi, India",Delhi,South West Delhi,Delhi
way/542939354,77.086877,28.557036,IGI Airport,"IGI Airport Metro Station, Delhi, India",Delhi,South West Delhi,Delhi
polyline:20405609,77.086637,28.553685,IGI Airport,"igi airport t3 road, Delhi, India",Delhi,South West Delhi,Delhi
node/9584236508,77.241044,28.628191,ITO,"ITO, Delhi, India",Delhi,South West Delhi,Delhi
node/4440796919,77.245021,28.628205,ITO,"ITO, Delhi, India",Delhi,South West Delhi,Delhi
