Booking ID,Customer ID,_target_completed_,_target_completed_,pick_latitude,Ride Distance_fill_scaled,pick_longitude,drop_latitude,drop_longitude,pick_station_longitude,snowfall_dropoff_log_scaled,precipitation_dropoff_log_scaled,rain_dropoff_log_scaled,wind_speed_10m_scaled,wind_speed_10m_dropoff_scaled,rain_log_scaled,pick_station_latitude,precipitation_log_scaled,relative_humidity_2m_dropoff_scaled,dew_point_2m_dropoff_scaled,drop_station_longitude,snowfall_log_scaled,dew_point_2m_scaled
"""CNR5988073""","""CID4740424""",0,0,28.493439,0.0,77.147964,28.50984,77.09219,81.5113,0.0,0.0,0.0,0.45,0.53571427,0.0,25.37841,0.0,0.41304347,0.72789115,77.23014,0.0,0.5833333
"""CNR2317673""","""CID7586264""",0,0,25.536083,-1.1907141,82.06294,28.567593,77.1644,77.04708,0.0,0.0,0.0,0.15,0.32142857,0.0,28.4121,0.0,0.02173913,-0.4489796,77.177734,0.0,-0.5625
"""CNR8000901""","""CID7759087""",0,0,28.685629,-0.001031591,77.400276,28.64711,77.31622,77.217735,0.0,0.0,0.0,-0.1,-0.10714286,0.0,28.584036,0.0,0.2173913,0.53741497,77.2048,0.0,0.41666666
"""CNR4101517""","""CID2471038""",0,0,28.653786,0.001143475,77.31225,28.417988,77.30754,77.27633,0.0,0.0,0.0,-0.9166667,-0.83928573,0.0,30.56532,0.0,-0.3478261,0.31292516,77.19546,0.0,0.15972222
"""CNR4787374""","""CID3529664""",0,0,28.464584,-0.000467298,76.98282,28.736036,77.15907,78.02296,0.0,0.0,0.0,-0.2,0.4107143,0.0,27.208864,0.0,-0.19565217,-0.5714286,77.49596,0.0,-0.5972222
"""CNR3930953""","""CID5058745""",0,0,28.54532,-0.000467298,77.12725,28.648544,77.20304,75.49758,0.0,0.0,0.0,-1.0666667,2.7857144,0.0,32.69978,0.0,-0.95652175,-0.39455783,76.67042,0.0,-0.3263889
"""CNR1229652""","""CID9498748""",0,0,29.36827,0.001991443,77.36111,30.56532,77.27633,72.86011,0.0,0.0,0.0,-0.03333333,0.08928572,0.0,19.129297,0.0,-0.9782609,-0.36734694,77.31225,0.0,0.6944444
"""CNR1601655""","""CID4919519""",0,0,28.36005,0.001143475,76.94139,28.613789,77.21307,78.45524,0.0,0.0,0.0,0.11666667,-0.8214286,0.0,17.409283,0.0,-0.19565217,-0.39455783,77.21239,0.0,-0.15972222
"""CNR7488836""","""CID5961253""",0,0,28.667273,-0.000467298,77.228546,28.679125,77.09597,77.22837,0.0,0.0,0.0,1.5,1.3571428,0.0,28.539013,0.0,-0.2826087,0.6258503,77.35616,0.0,0.41666666
"""CNR7735743""","""CID9122414""",0,0,28.52202,0.001143475,77.20925,28.65055,77.23517,72.857124,0.0,0.0,0.0,2.8333333,0.71428573,0.0,19.17851,0.0,-1.2608696,-1.3129252,75.79752,0.0,-0.6041667
"""CNR4581428""","""CID9951071""",0,0,28.535017,0.028481131,77.2641,28.686321,77.221725,77.18559,0.0,0.0,0.0,-0.5,-0.5,0.0,28.56755,0.0,-0.04347826,0.006802721,77.1215,0.0,-0.14583333
"""CNR3929027""","""CID9146622""",0,0,28.567593,0.001143475,77.1644,28.661482,77.13942,70.463905,0.0,0.0,0.0,-0.5,-0.125,0.0,21.511913,0.0,0.67391306,-0.53061223,77.23517,0.0,-0.25
