split,_target_completed_,Booking ID,Customer ID
train,1,"""CNR4352144""","""CID8362794"""
train,1,"""CNR9147645""","""CID8300238"""
train,0,"""CNR1009222""","""CID2030746"""
train,0,"""CNR2740479""","""CID3231181"""
train,0,"""CNR7650148""","""CID3381661"""
train,1,"""CNR8140858""","""CID9268400"""
train,0,"""CNR8839592""","""CID6577042"""
train,0,"""CNR4510033""","""CID3289424"""
train,0,"""CNR9519641""","""CID1177393"""
train,0,"""CNR4588428""","""CID3087143"""
train,0,"""CNR9509351""","""CID2180547"""
train,0,"""CNR6623070""","""CID3958529"""
train,0,"""CNR7476971""","""CID1133529"""
train,1,"""CNR6073090""","""CID7393428"""
train,1,"""CNR4082656""","""CID9685431"""
train,1,"""CNR4840689""","""CID5104424"""
train,1,"""CNR4817997""","""CID7644908"""
train,0,"""CNR5069850""","""CID5422980"""
train,0,"""CNR4302396""","""CID3437829"""
train,1,"""CNR2812762""","""CID3933983"""
train,0,"""CNR8068543""","""CID6433083"""
train,1,"""CNR2053447""","""CID6574115"""
train,0,"""CNR3393881""","""CID1046847"""
train,1,"""CNR9927107""","""CID8187312"""
train,0,"""CNR1027475""","""CID1666145"""
train,1,"""CNR6431164""","""CID3057039"""
train,0,"""CNR2972763""","""CID4100766"""
train,1,"""CNR5658805""","""CID9504844"""
train,1,"""CNR8947212""","""CID2168108"""
train,0,"""CNR2170489""","""CID8017067"""
train,0,"""CNR6358884""","""CID7636784"""
train,0,"""CNR6877327""","""CID8244156"""
train,1,"""CNR1193657""","""CID9664442"""
train,0,"""CNR9386178""","""CID1233957"""
train,1,"""CNR4628761""","""CID5124530"""
train,0,"""CNR2571556""","""CID4111041"""
train,0,"""CNR8659498""","""CID6590640"""
train,1,"""CNR2099161""","""CID3197530"""
train,1,"""CNR7377162""","""CID7227079"""
train,1,"""CNR2350429""","""CID2110000"""
train,1,"""CNR8552222""","""CID9207992"""
train,0,"""CNR6976120""","""CID6721208"""
train,0,"""CNR6477001""","""CID5111615"""
train,0,"""CNR9905869""","""CID4366670"""
train,0,"""CNR4564281""","""CID1979440"""
train,0,"""CNR1940790""","""CID6441086"""
train,1,"""CNR1183981""","""CID3214323"""
train,1,"""CNR7137943""","""CID5603980"""
train,1,"""CNR8512619""","""CID8876013"""
train,0,"""CNR8211275""","""CID4088438"""
train,1,"""CNR9470419""","""CID2330696"""
train,1,"""CNR6813909""","""CID4108516"""
train,0,"""CNR2276196""","""CID9786625"""
train,1,"""CNR1660566""","""CID8665833"""
train,1,"""CNR2800665""","""CID5563775"""
train,0,"""CNR7284122""","""CID7575243"""
train,1,"""CNR7032673""","""CID9136155"""
train,1,"""CNR6081020""","""CID9487447"""
train,0,"""CNR5998244""","""CID7994710"""
train,1,"""CNR1467320""","""CID9378191"""
train,1,"""CNR3136350""","""CID1251524"""
train,1,"""CNR9931312""","""CID3684351"""
train,1,"""CNR3767507""","""CID4477098"""
train,1,"""CNR3921624""","""CID2458362"""
train,1,"""CNR6985214""","""CID7858475"""
train,1,"""CNR9777679""","""CID5773113"""
train,0,"""CNR7720881""","""CID1450813"""
train,1,"""CNR1414495""","""CID6555814"""
train,1,"""CNR6472828""","""CID6596558"""
train,1,"""CNR9326976""","""CID9433018"""
train,0,"""CNR6443030""","""CID1003436"""
train,1,"""CNR5625533""","""CID9874613"""
train,1,"""CNR4186500""","""CID4011195"""
train,1,"""CNR1041830""","""CID5671054"""
train,1,"""CNR3529272""","""CID9849458"""
train,1,"""CNR7840176""","""CID2800770"""
train,1,"""CNR1117684""","""CID2649717"""
train,0,"""CNR2811704""","""CID9376179"""
train,1,"""CNR4762875""","""CID5410274"""
train,1,"""CNR7743565""","""CID2074867"""
train,1,"""CNR3500529""","""CID9086976"""
train,1,"""CNR1477170""","""CID1948638"""
train,0,"""CNR9218883""","""CID3071295"""
train,0,"""CNR4981244""","""CID5816241"""
train,0,"""CNR1926106""","""CID5205404"""
train,0,"""CNR4374244""","""CID9781794"""
train,0,"""CNR1819661""","""CID3789290"""
train,0,"""CNR9787754""","""CID1038401"""
train,1,"""CNR2277096""","""CID8661095"""
train,1,"""CNR4032858""","""CID8375318"""
train,1,"""CNR5504558""","""CID2246675"""
train,1,"""CNR3925020""","""CID6550057"""
train,0,"""CNR4962670""","""CID3210772"""
train,1,"""CNR5707968""","""CID4093860"""
train,1,"""CNR5053128""","""CID8539503"""
train,0,"""CNR8789088""","""CID2850647"""
train,0,"""CNR7070248""","""CID1713953"""
train,1,"""CNR2164102""","""CID8403215"""
train,1,"""CNR3086290""","""CID1571032"""
train,1,"""CNR2195742""","""CID3334375"""
train,1,"""CNR6288298""","""CID4484069"""
train,1,"""CNR6923359""","""CID6389153"""
train,1,"""CNR8645672""","""CID8867272"""
train,0,"""CNR2159326""","""CID8328789"""
train,0,"""CNR7842572""","""CID8222301"""
train,1,"""CNR8928056""","""CID9657492"""
train,0,"""CNR6248847""","""CID5669948"""
train,0,"""CNR6690930""","""CID9813685"""
train,0,"""CNR1073238""","""CID8040550"""
train,0,"""CNR4963826""","""CID4918189"""
train,1,"""CNR8549279""","""CID4123332"""
train,1,"""CNR3453090""","""CID6882624"""
train,1,"""CNR4279302""","""CID9861348"""
train,1,"""CNR8520302""","""CID2232645"""
train,0,"""CNR7209857""","""CID7154973"""
train,0,"""CNR8394095""","""CID9268260"""
train,0,"""CNR8218840""","""CID6178341"""
train,0,"""CNR1337474""","""CID8077384"""
train,1,"""CNR4841271""","""CID1960635"""
train,1,"""CNR9883866""","""CID6507774"""
train,0,"""CNR6835253""","""CID7772880"""
train,0,"""CNR3559807""","""CID4027533"""
train,1,"""CNR3953940""","""CID5250498"""
train,1,"""CNR9400657""","""CID5348234"""
train,1,"""CNR9993540""","""CID2432191"""
train,1,"""CNR7438472""","""CID3691686"""
train,1,"""CNR2280652""","""CID4513762"""
train,0,"""CNR5280472""","""CID6397492"""
train,1,"""CNR5056589""","""CID5468655"""
train,1,"""CNR8228716""","""CID4508700"""
train,0,"""CNR1343798""","""CID5716515"""
train,0,"""CNR8795066""","""CID3415920"""
train,0,"""CNR8742622""","""CID7974709"""
train,1,"""CNR8890678""","""CID1751397"""
train,1,"""CNR9442408""","""CID9819315"""
train,0,"""CNR5886366""","""CID7545241"""
train,1,"""CNR5474433""","""CID3442433"""
train,1,"""CNR4405687""","""CID1332113"""
train,1,"""CNR1134558""","""CID5789232"""
train,1,"""CNR9206876""","""CID9606493"""
train,1,"""CNR1676609""","""CID5428235"""
train,0,"""CNR2707733""","""CID8795150"""
train,0,"""CNR3482339""","""CID2249185"""
train,1,"""CNR8967615""","""CID2447892"""
train,0,"""CNR8230145""","""CID7818253"""
train,1,"""CNR9960064""","""CID7276577"""
train,1,"""CNR7686840""","""CID7886176"""
train,0,"""CNR8051736""","""CID3939557"""
train,1,"""CNR3164811""","""CID7770462"""
train,1,"""CNR5418702""","""CID6316263"""
train,0,"""CNR9592956""","""CID2145490"""
train,1,"""CNR1937657""","""CID2601542"""
train,0,"""CNR4116200""","""CID7330187"""
train,1,"""CNR8219619""","""CID4363011"""
train,0,"""CNR1949822""","""CID2678250"""
train,0,"""CNR2797757""","""CID7534956"""
train,1,"""CNR6902256""","""CID3182413"""
train,1,"""CNR1432405""","""CID6208831"""
train,1,"""CNR9173739""","""CID5907322"""
train,1,"""CNR5299680""","""CID8466845"""
train,1,"""CNR8471830""","""CID1067827"""
train,1,"""CNR6357781""","""CID8891508"""
train,1,"""CNR2816356""","""CID6333938"""
train,0,"""CNR7310928""","""CID7195155"""
train,1,"""CNR8472951""","""CID2479749"""
train,0,"""CNR7903358""","""CID9479242"""
train,1,"""CNR1129313""","""CID6816011"""
train,0,"""CNR7252288""","""CID6824938"""
train,1,"""CNR4604849""","""CID8065631"""
train,0,"""CNR5177637""","""CID9506664"""
train,1,"""CNR8253248""","""CID1319312"""
train,1,"""CNR5594203""","""CID2990043"""
train,1,"""CNR8261535""","""CID4421149"""
train,1,"""CNR7634665""","""CID6094821"""
train,0,"""CNR3869856""","""CID3010187"""
train,1,"""CNR9550782""","""CID9348020"""
train,1,"""CNR3040100""","""CID8658482"""
train,1,"""CNR8369131""","""CID2520698"""
train,1,"""CNR6205457""","""CID6383818"""
train,1,"""CNR3175918""","""CID3171551"""
train,0,"""CNR9917085""","""CID6097073"""
train,1,"""CNR6755834""","""CID7492665"""
train,0,"""CNR9832336""","""CID8077824"""
train,1,"""CNR9537461""","""CID8857576"""
train,0,"""CNR8722288""","""CID4734371"""
train,0,"""CNR4078816""","""CID2378958"""
train,1,"""CNR2935251""","""CID4488102"""
train,0,"""CNR9784860""","""CID1711445"""
train,1,"""CNR6970624""","""CID4696644"""
train,1,"""CNR1356818""","""CID4258027"""
train,0,"""CNR5171896""","""CID1030265"""
train,1,"""CNR6477837""","""CID6494830"""
train,1,"""CNR9497823""","""CID2217814"""
train,1,"""CNR2657449""","""CID9476982"""
train,1,"""CNR5685681""","""CID2118999"""
train,0,"""CNR3592239""","""CID1186567"""
train,1,"""CNR1410729""","""CID9435412"""
train,0,"""CNR3978979""","""CID3233856"""
train,0,"""CNR4968950""","""CID9227124"""
train,1,"""CNR8519597""","""CID9650591"""
train,0,"""CNR3560401""","""CID2678069"""
train,0,"""CNR6060024""","""CID5292296"""
train,1,"""CNR4220664""","""CID4168207"""
train,1,"""CNR5016912""","""CID9860746"""
train,1,"""CNR4890585""","""CID1664068"""
train,1,"""CNR9000447""","""CID6214906"""
train,0,"""CNR8921545""","""CID9070165"""
train,0,"""CNR4734682""","""CID9663820"""
train,0,"""CNR1033035""","""CID6643280"""
train,0,"""CNR6964636""","""CID2662010"""
train,0,"""CNR4156724""","""CID4908411"""
train,1,"""CNR8666573""","""CID3448187"""
train,1,"""CNR2876763""","""CID5090481"""
train,0,"""CNR6271542""","""CID6728838"""
train,0,"""CNR7667723""","""CID2099944"""
train,1,"""CNR6193907""","""CID8016580"""
train,1,"""CNR3610545""","""CID3909321"""
train,0,"""CNR6773766""","""CID5778657"""
train,1,"""CNR8852094""","""CID6045053"""
train,1,"""CNR1420280""","""CID5592367"""
train,1,"""CNR7144178""","""CID4674848"""
train,0,"""CNR1095819""","""CID4638289"""
train,1,"""CNR3326630""","""CID3316119"""
train,0,"""CNR1729140""","""CID1911868"""
train,1,"""CNR3537563""","""CID2241352"""
train,1,"""CNR6674388""","""CID7642843"""
train,0,"""CNR5757917""","""CID8489559"""
train,1,"""CNR5265972""","""CID9944423"""
train,0,"""CNR1781309""","""CID3676259"""
train,0,"""CNR6643253""","""CID1058361"""
train,1,"""CNR2869355""","""CID7652461"""
train,1,"""CNR5933755""","""CID2589519"""
train,0,"""CNR4050104""","""CID8275045"""
train,1,"""CNR5271955""","""CID4120430"""
train,1,"""CNR7855749""","""CID2054415"""
train,1,"""CNR7911920""","""CID6481545"""
train,0,"""CNR1005420""","""CID7425866"""
train,0,"""CNR2490678""","""CID5362813"""
train,0,"""CNR6467196""","""CID3222698"""
train,1,"""CNR4037359""","""CID7045701"""
train,0,"""CNR5919041""","""CID6703449"""
train,0,"""CNR4503472""","""CID4747477"""
train,1,"""CNR4289111""","""CID8225531"""
train,0,"""CNR1575948""","""CID9369063"""
train,1,"""CNR6182313""","""CID3649751"""
train,1,"""CNR8175151""","""CID5270036"""
train,0,"""CNR3041576""","""CID7281642"""
train,1,"""CNR7792915""","""CID7972471"""
train,0,"""CNR4423001""","""CID6188095"""
train,1,"""CNR6304766""","""CID9520416"""
train,1,"""CNR4965399""","""CID3991700"""
train,0,"""CNR5291408""","""CID3813527"""
train,0,"""CNR4528882""","""CID2671551"""
train,1,"""CNR3361565""","""CID3261577"""
train,1,"""CNR3653334""","""CID7934159"""
train,1,"""CNR5491556""","""CID6421533"""
train,0,"""CNR2127822""","""CID2082356"""
train,1,"""CNR1774511""","""CID7880605"""
train,1,"""CNR2689650""","""CID5638785"""
train,1,"""CNR1327798""","""CID8163269"""
train,0,"""CNR3557075""","""CID7826678"""
train,1,"""CNR7447371""","""CID1596460"""
train,1,"""CNR4494285""","""CID9015113"""
train,0,"""CNR1369589""","""CID5908171"""
train,0,"""CNR3627219""","""CID1505551"""
train,1,"""CNR4891145""","""CID1351191"""
train,1,"""CNR5013965""","""CID6004352"""
train,1,"""CNR2589191""","""CID8552101"""
train,0,"""CNR4382833""","""CID4218113"""
train,1,"""CNR3027089""","""CID8425693"""
train,1,"""CNR1870260""","""CID3594375"""
train,0,"""CNR8937216""","""CID9177873"""
train,1,"""CNR3100880""","""CID7978962"""
train,1,"""CNR2337420""","""CID3702783"""
train,1,"""CNR8042087""","""CID9395632"""
train,1,"""CNR2125773""","""CID8861928"""
train,1,"""CNR2400497""","""CID6722293"""
train,0,"""CNR5085905""","""CID1616068"""
train,0,"""CNR3343725""","""CID9395507"""
train,1,"""CNR5328980""","""CID4687792"""
train,0,"""CNR5201145""","""CID7702485"""
train,0,"""CNR6654635""","""CID2490063"""
train,1,"""CNR6304210""","""CID7004065"""
train,1,"""CNR9325654""","""CID5922743"""
train,1,"""CNR3419182""","""CID5251765"""
train,1,"""CNR9030553""","""CID1981781"""
train,1,"""CNR2079228""","""CID9773424"""
train,1,"""CNR2994610""","""CID3927468"""
train,1,"""CNR4156395""","""CID7590151"""
train,1,"""CNR6836589""","""CID3439376"""
train,0,"""CNR9449127""","""CID9724887"""
train,0,"""CNR9542022""","""CID8537493"""
train,1,"""CNR7820311""","""CID7882145"""
train,1,"""CNR2175796""","""CID6276714"""
train,1,"""CNR5691540""","""CID6992369"""
train,1,"""CNR7778425""","""CID3524152"""
train,1,"""CNR6698448""","""CID6054652"""
train,1,"""CNR9358834""","""CID6662092"""
train,0,"""CNR8187951""","""CID7416548"""
train,1,"""CNR1549599""","""CID2418823"""
train,0,"""CNR3389519""","""CID2935430"""
train,0,"""CNR2799036""","""CID8922841"""
train,1,"""CNR3641297""","""CID2030803"""
train,1,"""CNR1780287""","""CID3779141"""
train,0,"""CNR9839141""","""CID5829002"""
train,0,"""CNR9124030""","""CID3379816"""
train,0,"""CNR4832454""","""CID7972738"""
train,1,"""CNR5296494""","""CID8538473"""
train,1,"""CNR4061075""","""CID8444334"""
train,1,"""CNR4844068""","""CID3908741"""
train,1,"""CNR2000996""","""CID3248613"""
train,1,"""CNR7609716""","""CID8523213"""
train,0,"""CNR4564428""","""CID1921259"""
train,1,"""CNR1833452""","""CID3229613"""
train,1,"""CNR7161411""","""CID3181916"""
train,1,"""CNR8819686""","""CID8424934"""
train,1,"""CNR6891357""","""CID3217413"""
train,1,"""CNR9568738""","""CID2340617"""
train,1,"""CNR6675948""","""CID8375728"""
train,0,"""CNR9596582""","""CID1534598"""
train,0,"""CNR1295656""","""CID8010340"""
train,0,"""CNR5922858""","""CID5929877"""
train,1,"""CNR6888428""","""CID8604738"""
train,1,"""CNR1039135""","""CID3959951"""
train,0,"""CNR6061095""","""CID1547643"""
train,0,"""CNR8780739""","""CID6755094"""
train,1,"""CNR3914591""","""CID3217781"""
train,1,"""CNR2776066""","""CID9595708"""
train,0,"""CNR3395356""","""CID1497988"""
train,1,"""CNR3925708""","""CID8168308"""
train,1,"""CNR8409976""","""CID4350770"""
train,1,"""CNR9534933""","""CID3250146"""
train,1,"""CNR5508613""","""CID7994826"""
train,0,"""CNR9218037""","""CID1918348"""
train,0,"""CNR7303130""","""CID4798066"""
train,1,"""CNR7294075""","""CID6392882"""
train,0,"""CNR3194737""","""CID4494828"""
train,1,"""CNR4228633""","""CID2445238"""
train,1,"""CNR6786441""","""CID7659776"""
train,1,"""CNR8643427""","""CID8044490"""
train,1,"""CNR6505726""","""CID1287981"""
train,0,"""CNR3181181""","""CID5671440"""
train,1,"""CNR6826885""","""CID5826875"""
train,0,"""CNR4773061""","""CID9996408"""
train,0,"""CNR4373297""","""CID2005800"""
train,1,"""CNR6014687""","""CID6324135"""
train,0,"""CNR3575242""","""CID3139833"""
train,1,"""CNR8613340""","""CID7944365"""
train,0,"""CNR5506377""","""CID1632603"""
train,1,"""CNR9665247""","""CID4964991"""
train,0,"""CNR5916769""","""CID6832002"""
train,0,"""CNR2832723""","""CID7052118"""
train,0,"""CNR5415493""","""CID4883588"""
train,1,"""CNR7091332""","""CID6087004"""
train,0,"""CNR5070980""","""CID3661260"""
train,1,"""CNR5765607""","""CID4723674"""
train,0,"""CNR9115799""","""CID7458184"""
train,0,"""CNR7484606""","""CID4415644"""
train,0,"""CNR3716489""","""CID8267595"""
train,0,"""CNR1079784""","""CID1457114"""
train,1,"""CNR2901658""","""CID9641919"""
train,1,"""CNR2025731""","""CID5728509"""
train,1,"""CNR1059068""","""CID7096347"""
train,1,"""CNR3304916""","""CID5725493"""
train,0,"""CNR3451034""","""CID5482799"""
train,1,"""CNR4711455""","""CID8519738"""
train,1,"""CNR5992770""","""CID8289400"""
train,1,"""CNR7572726""","""CID1662024"""
train,1,"""CNR9149582""","""CID5609420"""
train,1,"""CNR2450702""","""CID6468884"""
train,1,"""CNR2085894""","""CID1581637"""
train,1,"""CNR7287773""","""CID5831002"""
train,1,"""CNR7572735""","""CID5214553"""
train,1,"""CNR2416567""","""CID2631677"""
train,1,"""CNR5988375""","""CID1389128"""
train,1,"""CNR9918929""","""CID7591176"""
train,1,"""CNR9899906""","""CID4080199"""
train,1,"""CNR9901275""","""CID9869633"""
train,1,"""CNR7088218""","""CID9876438"""
train,1,"""CNR5935446""","""CID3234627"""
train,1,"""CNR7440174""","""CID7481416"""
train,0,"""CNR4860861""","""CID3634794"""
train,0,"""CNR3152787""","""CID9322718"""
train,1,"""CNR9609010""","""CID2393425"""
train,1,"""CNR4849990""","""CID3157653"""
train,0,"""CNR7315839""","""CID6108698"""
train,1,"""CNR1494531""","""CID3110553"""
train,1,"""CNR8611757""","""CID1759035"""
train,1,"""CNR8381831""","""CID4732364"""
train,1,"""CNR7169384""","""CID9354612"""
train,1,"""CNR5869375""","""CID7457037"""
train,0,"""CNR7161450""","""CID2917070"""
train,1,"""CNR4730344""","""CID4663708"""
train,1,"""CNR8525723""","""CID2943288"""
train,1,"""CNR2644937""","""CID6698537"""
train,1,"""CNR6601205""","""CID5746717"""
train,1,"""CNR1917264""","""CID7411649"""
train,1,"""CNR3703507""","""CID8940626"""
train,1,"""CNR2562984""","""CID7254930"""
train,1,"""CNR6844782""","""CID1174722"""
train,0,"""CNR2534769""","""CID9046738"""
train,0,"""CNR9589798""","""CID5878909"""
train,1,"""CNR9111101""","""CID8496816"""
train,0,"""CNR6909298""","""CID4623278"""
train,0,"""CNR1562058""","""CID4925718"""
train,1,"""CNR3468548""","""CID8963046"""
train,0,"""CNR2879762""","""CID5239927"""
train,0,"""CNR6667143""","""CID8574714"""
train,0,"""CNR8769060""","""CID5821538"""
train,0,"""CNR6355711""","""CID7460561"""
train,1,"""CNR3731665""","""CID1799151"""
train,0,"""CNR5348478""","""CID7778095"""
train,1,"""CNR6938729""","""CID1293941"""
train,0,"""CNR7706946""","""CID8565891"""
train,1,"""CNR2710838""","""CID4261132"""
train,0,"""CNR6970915""","""CID1131983"""
train,1,"""CNR9922661""","""CID3898274"""
train,0,"""CNR1031763""","""CID7522998"""
train,0,"""CNR7689941""","""CID4691576"""
train,1,"""CNR8078722""","""CID3642870"""
train,1,"""CNR9034261""","""CID3724907"""
train,1,"""CNR3617349""","""CID9118333"""
train,1,"""CNR7382790""","""CID2886117"""
train,1,"""CNR3915319""","""CID4922628"""
train,0,"""CNR5066906""","""CID6131176"""
train,1,"""CNR7174280""","""CID6560900"""
train,1,"""CNR1724960""","""CID9228737"""
train,0,"""CNR6347678""","""CID6697893"""
train,1,"""CNR2207090""","""CID5122150"""
train,1,"""CNR6869006""","""CID9065633"""
train,1,"""CNR9346271""","""CID7836757"""
train,1,"""CNR8783402""","""CID9386563"""
train,0,"""CNR1412349""","""CID8787149"""
train,0,"""CNR5862913""","""CID6065182"""
train,0,"""CNR6563495""","""CID4757455"""
train,0,"""CNR9228062""","""CID1037009"""
train,1,"""CNR1030999""","""CID1765391"""
train,0,"""CNR8194400""","""CID3027066"""
train,0,"""CNR1911189""","""CID7913523"""
train,1,"""CNR6042762""","""CID6900895"""
train,1,"""CNR1168840""","""CID6874588"""
train,0,"""CNR6829661""","""CID2699611"""
train,1,"""CNR1128655""","""CID4298335"""
train,1,"""CNR1381773""","""CID3777829"""
train,0,"""CNR1085588""","""CID1041702"""
train,0,"""CNR3008593""","""CID5762392"""
train,1,"""CNR5314773""","""CID7303835"""
train,1,"""CNR6168037""","""CID8274313"""
train,1,"""CNR4514759""","""CID6848826"""
train,1,"""CNR6107798""","""CID1768303"""
train,1,"""CNR4094648""","""CID5700750"""
train,0,"""CNR1628754""","""CID5988605"""
train,1,"""CNR5500278""","""CID3819490"""
train,0,"""CNR2444183""","""CID8667966"""
train,0,"""CNR8878677""","""CID9281695"""
train,1,"""CNR9700018""","""CID8936938"""
train,0,"""CNR1552517""","""CID3786246"""
train,1,"""CNR7332424""","""CID3284010"""
train,0,"""CNR8107272""","""CID8830261"""
train,0,"""CNR8606262""","""CID1970709"""
train,0,"""CNR6984325""","""CID3532495"""
train,0,"""CNR6473685""","""CID8356030"""
train,0,"""CNR9564925""","""CID1275519"""
train,1,"""CNR2346447""","""CID9304062"""
train,1,"""CNR2325941""","""CID2582469"""
train,1,"""CNR7139754""","""CID3488988"""
train,1,"""CNR1464237""","""CID9333762"""
train,0,"""CNR3955042""","""CID2250109"""
train,0,"""CNR1321819""","""CID3514839"""
train,0,"""CNR2669012""","""CID9782015"""
train,0,"""CNR7414486""","""CID8104896"""
train,0,"""CNR3719326""","""CID9215373"""
train,1,"""CNR1971326""","""CID7138403"""
train,1,"""CNR1549319""","""CID6268719"""
train,0,"""CNR3249084""","""CID5632319"""
train,1,"""CNR3450389""","""CID2095053"""
train,1,"""CNR1378995""","""CID4178881"""
train,0,"""CNR3232273""","""CID3769822"""
train,1,"""CNR8208297""","""CID5533220"""
train,1,"""CNR8218595""","""CID9803038"""
train,1,"""CNR1844786""","""CID2847173"""
train,0,"""CNR9390335""","""CID2577774"""
train,1,"""CNR1191638""","""CID5936190"""
train,1,"""CNR8099226""","""CID7745345"""
train,1,"""CNR7093349""","""CID3009169"""
train,1,"""CNR4583766""","""CID7549462"""
train,0,"""CNR9184181""","""CID4299325"""
train,0,"""CNR2883774""","""CID6659777"""
train,1,"""CNR8862896""","""CID9670987"""
train,1,"""CNR4059148""","""CID7541167"""
train,1,"""CNR8487648""","""CID5090551"""
train,1,"""CNR7285514""","""CID3738700"""
train,0,"""CNR4450742""","""CID6707676"""
train,0,"""CNR4186304""","""CID5325958"""
train,0,"""CNR6066183""","""CID8626619"""
train,1,"""CNR5489530""","""CID6650687"""
train,0,"""CNR9977227""","""CID6713493"""
train,1,"""CNR5743572""","""CID4477009"""
train,0,"""CNR2027560""","""CID1992708"""
train,1,"""CNR1157153""","""CID4582353"""
train,1,"""CNR7744144""","""CID1120993"""
train,1,"""CNR8023648""","""CID9671334"""
train,1,"""CNR1794305""","""CID5716327"""
train,0,"""CNR7661262""","""CID3457114"""
train,1,"""CNR7622851""","""CID8769035"""
train,1,"""CNR9273837""","""CID4943398"""
