split,_target_completed_,Booking ID,Customer ID
train,1,"""CNR9233476""","""CID5462994"""
train,1,"""CNR1971472""","""CID4695202"""
train,1,"""CNR8180802""","""CID7159976"""
train,1,"""CNR2468466""","""CID2760617"""
train,0,"""CNR3374014""","""CID9011381"""
train,1,"""CNR9567568""","""CID5488982"""
train,0,"""CNR3284057""","""CID8577684"""
train,0,"""CNR2913717""","""CID9882302"""
train,0,"""CNR1546303""","""CID5767999"""
train,1,"""CNR5465284""","""CID1228386"""
train,1,"""CNR4784964""","""CID6241832"""
train,1,"""CNR3538750""","""CID7788851"""
train,1,"""CNR1056683""","""CID5397731"""
train,1,"""CNR4876759""","""CID3211269"""
train,0,"""CNR7845189""","""CID6240136"""
train,1,"""CNR5639351""","""CID5931142"""
train,0,"""CNR1627382""","""CID9279559"""
train,0,"""CNR3630585""","""CID5762433"""
train,1,"""CNR4228199""","""CID5858155"""
train,0,"""CNR4405085""","""CID7711520"""
train,1,"""CNR2019618""","""CID5266187"""
train,1,"""CNR1411721""","""CID9284572"""
train,1,"""CNR6990047""","""CID6501764"""
train,1,"""CNR6495736""","""CID2966669"""
train,0,"""CNR7829527""","""CID4040142"""
train,1,"""CNR3011909""","""CID9101596"""
train,1,"""CNR3100979""","""CID7172920"""
train,1,"""CNR9077312""","""CID5825576"""
train,1,"""CNR2909773""","""CID5242000"""
train,0,"""CNR2846425""","""CID3812953"""
train,0,"""CNR7226479""","""CID7253973"""
train,1,"""CNR5335820""","""CID4283716"""
train,0,"""CNR8160471""","""CID6619255"""
train,0,"""CNR9951671""","""CID1997441"""
train,1,"""CNR2258934""","""CID3869945"""
train,1,"""CNR7166763""","""CID1836435"""
train,1,"""CNR9345586""","""CID2530008"""
train,1,"""CNR9248488""","""CID7453166"""
train,1,"""CNR1526013""","""CID8637591"""
train,1,"""CNR9562010""","""CID2801556"""
train,1,"""CNR3260752""","""CID3192463"""
train,0,"""CNR1424741""","""CID8047368"""
train,0,"""CNR6138727""","""CID3213818"""
train,1,"""CNR2865736""","""CID3972597"""
train,0,"""CNR8223163""","""CID6288077"""
train,1,"""CNR7261907""","""CID2870771"""
train,1,"""CNR9061562""","""CID8942604"""
train,1,"""CNR4872766""","""CID8787982"""
train,1,"""CNR9116845""","""CID3568723"""
train,1,"""CNR9235730""","""CID6513001"""
train,0,"""CNR6363974""","""CID5432113"""
train,0,"""CNR7345795""","""CID8240995"""
train,0,"""CNR9934653""","""CID1795150"""
train,1,"""CNR4132977""","""CID7608209"""
train,1,"""CNR4237854""","""CID8296159"""
train,1,"""CNR3129509""","""CID2533173"""
train,1,"""CNR7219331""","""CID7924326"""
train,1,"""CNR4505039""","""CID8601598"""
train,1,"""CNR7386689""","""CID2377603"""
train,0,"""CNR5135022""","""CID6087054"""
train,1,"""CNR3170316""","""CID8580311"""
train,1,"""CNR9929419""","""CID5352491"""
train,1,"""CNR7696158""","""CID2066827"""
train,1,"""CNR3924790""","""CID2613174"""
train,1,"""CNR4859092""","""CID4612371"""
train,1,"""CNR3391522""","""CID6008694"""
train,0,"""CNR5522800""","""CID7347572"""
train,1,"""CNR8410457""","""CID3863812"""
train,1,"""CNR5213329""","""CID4334659"""
train,0,"""CNR6876088""","""CID5000007"""
train,1,"""CNR8696004""","""CID4608348"""
train,1,"""CNR1945203""","""CID6993911"""
train,1,"""CNR2501652""","""CID1995918"""
train,1,"""CNR5165899""","""CID2513807"""
train,0,"""CNR2798479""","""CID1556869"""
train,0,"""CNR9917411""","""CID2803752"""
train,1,"""CNR9075919""","""CID1616572"""
train,1,"""CNR4165248""","""CID2230363"""
train,1,"""CNR9777964""","""CID7263573"""
train,1,"""CNR9626183""","""CID7939480"""
train,1,"""CNR5850449""","""CID3874745"""
train,0,"""CNR6597645""","""CID5981029"""
train,1,"""CNR3211632""","""CID6259247"""
train,0,"""CNR1852371""","""CID5260598"""
train,1,"""CNR2016433""","""CID4453169"""
train,1,"""CNR5110133""","""CID4301040"""
train,1,"""CNR7628358""","""CID8502023"""
train,1,"""CNR2127817""","""CID8005106"""
train,0,"""CNR9462322""","""CID1862560"""
train,0,"""CNR1013070""","""CID9504441"""
train,1,"""CNR7965758""","""CID2441754"""
train,1,"""CNR7308730""","""CID9682403"""
train,1,"""CNR1137329""","""CID9912607"""
train,1,"""CNR8023821""","""CID1400984"""
train,0,"""CNR4124193""","""CID1308663"""
train,1,"""CNR3261911""","""CID6612044"""
train,0,"""CNR6105035""","""CID3370295"""
train,1,"""CNR8698846""","""CID4530062"""
train,1,"""CNR3025091""","""CID7097451"""
train,0,"""CNR2111664""","""CID2419786"""
train,0,"""CNR5244669""","""CID6750219"""
train,0,"""CNR8616505""","""CID6205165"""
train,1,"""CNR3780400""","""CID9691343"""
train,1,"""CNR2271385""","""CID9241823"""
train,1,"""CNR1223622""","""CID2816192"""
train,0,"""CNR8125452""","""CID2112092"""
train,1,"""CNR5028629""","""CID2864222"""
train,1,"""CNR9035324""","""CID5702299"""
train,1,"""CNR2395253""","""CID5051736"""
train,0,"""CNR4030302""","""CID1542234"""
train,1,"""CNR1236410""","""CID5403287"""
train,0,"""CNR1160060""","""CID5465364"""
train,1,"""CNR9559403""","""CID4773393"""
train,1,"""CNR9532533""","""CID6266100"""
train,0,"""CNR8397922""","""CID1556732"""
train,1,"""CNR9154317""","""CID3883869"""
train,1,"""CNR1197329""","""CID6952689"""
train,1,"""CNR3591435""","""CID8041123"""
train,1,"""CNR2720195""","""CID5320129"""
train,1,"""CNR1466808""","""CID1443483"""
train,0,"""CNR1794569""","""CID8482715"""
train,0,"""CNR8931954""","""CID2123188"""
train,1,"""CNR9822411""","""CID7084376"""
train,0,"""CNR8388444""","""CID4418679"""
train,0,"""CNR9102907""","""CID2572168"""
train,0,"""CNR5777996""","""CID7213173"""
train,1,"""CNR3444765""","""CID1099745"""
train,1,"""CNR5426398""","""CID7994620"""
train,1,"""CNR2252280""","""CID4711356"""
train,1,"""CNR5460776""","""CID8514157"""
train,0,"""CNR4885584""","""CID2021924"""
train,0,"""CNR5134299""","""CID4109642"""
train,0,"""CNR6255297""","""CID8874580"""
train,0,"""CNR9585245""","""CID7422664"""
train,0,"""CNR5316622""","""CID8555769"""
train,0,"""CNR1393049""","""CID3371735"""
train,1,"""CNR4982442""","""CID2889610"""
train,1,"""CNR1630096""","""CID7225160"""
train,1,"""CNR8083733""","""CID2734745"""
train,1,"""CNR5794918""","""CID2618651"""
train,0,"""CNR4200618""","""CID3321418"""
train,1,"""CNR9613193""","""CID9890177"""
train,0,"""CNR8976034""","""CID5419270"""
train,1,"""CNR7862191""","""CID7240049"""
train,0,"""CNR4549100""","""CID8455896"""
train,1,"""CNR6149718""","""CID8432476"""
train,1,"""CNR4945838""","""CID8174132"""
train,1,"""CNR7766657""","""CID4561441"""
train,1,"""CNR5810516""","""CID8958486"""
train,0,"""CNR1813449""","""CID2349760"""
train,0,"""CNR7522631""","""CID9882567"""
train,1,"""CNR8152787""","""CID9030312"""
train,0,"""CNR9489450""","""CID4479194"""
train,1,"""CNR8130381""","""CID4211635"""
train,0,"""CNR3152863""","""CID2212256"""
train,1,"""CNR4302846""","""CID4554027"""
