cluster,Booking ID,Customer ID
1,"""CNR7084849""","""CID5789841"""
1,"""CNR3159533""","""CID9810562"""
1,"""CNR4051549""","""CID9603664"""
1,"""CNR2248226""","""CID4255139"""
1,"""CNR8602446""","""CID2328492"""
1,"""CNR2561521""","""CID3709129"""
6,"""CNR1176276""","""CID9866805"""
1,"""CNR7733243""","""CID9648872"""
1,"""CNR2426571""","""CID7981656"""
1,"""CNR8284653""","""CID8822363"""
1,"""CNR7492154""","""CID5250942"""
1,"""CNR7399089""","""CID4851714"""
1,"""CNR4502021""","""CID1589558"""
6,"""CNR6664052""","""CID8718715"""
1,"""CNR6461402""","""CID6046779"""
1,"""CNR9693109""","""CID1959450"""
1,"""CNR9512364""","""CID1978444"""
1,"""CNR4675411""","""CID6184055"""
1,"""CNR7930149""","""CID1890931"""
1,"""CNR3203315""","""CID5528686"""
1,"""CNR2143313""","""CID7957552"""
1,"""CNR7708274""","""CID6808397"""
1,"""CNR7141164""","""CID1865705"""
1,"""CNR1754513""","""CID6741685"""
1,"""CNR1671313""","""CID3301576"""
1,"""CNR2007869""","""CID5633406"""
6,"""CNR9753024""","""CID8198556"""
1,"""CNR2245527""","""CID2024535"""
1,"""CNR7052278""","""CID9753475"""
6,"""CNR8370584""","""CID9284742"""
1,"""CNR1069520""","""CID3404698"""
1,"""CNR7675250""","""CID8546127"""
6,"""CNR8605682""","""CID9101268"""
1,"""CNR1493597""","""CID1993568"""
1,"""CNR3656053""","""CID1882858"""
6,"""CNR3071716""","""CID4995747"""
1,"""CNR6346329""","""CID3568871"""
1,"""CNR1623608""","""CID5629179"""
6,"""CNR7324289""","""CID8348020"""
6,"""CNR1213209""","""CID2975796"""
1,"""CNR4565851""","""CID2263382"""
1,"""CNR2204317""","""CID1318630"""
1,"""CNR6746752""","""CID1476368"""
1,"""CNR1237202""","""CID3932343"""
1,"""CNR8616833""","""CID2344321"""
6,"""CNR3903789""","""CID3333719"""
6,"""CNR3442899""","""CID2140931"""
1,"""CNR2617996""","""CID2390135"""
1,"""CNR9666035""","""CID6517150"""
6,"""CNR5947104""","""CID5910822"""
6,"""CNR9913132""","""CID5482137"""
1,"""CNR7015918""","""CID2838854"""
1,"""CNR4413575""","""CID7656386"""
1,"""CNR6826474""","""CID8885199"""
6,"""CNR5833632""","""CID7559630"""
6,"""CNR8113373""","""CID5042495"""
1,"""CNR2547329""","""CID6978740"""
1,"""CNR5202042""","""CID3118250"""
6,"""CNR3129642""","""CID5595153"""
6,"""CNR4261663""","""CID6751647"""
1,"""CNR5217431""","""CID2894118"""
1,"""CNR9927935""","""CID1864458"""
6,"""CNR2327616""","""CID7377755"""
6,"""CNR5563331""","""CID9962619"""
1,"""CNR2139424""","""CID8332049"""
6,"""CNR6086542""","""CID5619797"""
1,"""CNR7635779""","""CID7226292"""
1,"""CNR3240277""","""CID4942608"""
1,"""CNR9933110""","""CID2736878"""
1,"""CNR6849348""","""CID8024335"""
1,"""CNR6652834""","""CID1110427"""
1,"""CNR6168198""","""CID4298656"""
6,"""CNR7555199""","""CID5310889"""
1,"""CNR8048190""","""CID7264726"""
