cluster,Booking ID,Customer ID
0,"""CNR5884300""","""CID1982111"""
0,"""CNR1326809""","""CID4604802"""
2,"""CNR8494506""","""CID9202816"""
4,"""CNR8906825""","""CID2610914"""
4,"""CNR1950162""","""CID9933542"""
1,"""CNR4096693""","""CID4670564"""
3,"""CNR2002539""","""CID6800553"""
0,"""CNR6568000""","""CID8610436"""
3,"""CNR4510807""","""CID7873618"""
0,"""CNR7721892""","""CID5214275"""
0,"""CNR9070334""","""CID6680340"""
0,"""CNR9551927""","""CID7568143"""
2,"""CNR4386945""","""CID5543520"""
0,"""CNR2987763""","""CID2669710"""
0,"""CNR8962232""","""CID1789354"""
2,"""CNR2390352""","""CID5432215"""
2,"""CNR3221338""","""CID2581698"""
0,"""CNR6739317""","""CID8682675"""
4,"""CNR6126048""","""CID1060329"""
3,"""CNR9465840""","""CID9046501"""
2,"""CNR9843229""","""CID4929303"""
4,"""CNR7911434""","""CID8465004"""
0,"""CNR6178330""","""CID7719678"""
3,"""CNR5309981""","""CID3870048"""
4,"""CNR2978950""","""CID2977484"""
0,"""CNR2806943""","""CID7550481"""
1,"""CNR3614535""","""CID2507102"""
3,"""CNR4499383""","""CID5717521"""
0,"""CNR9834201""","""CID7891331"""
1,"""CNR8779845""","""CID7444351"""
3,"""CNR2178654""","""CID3631860"""
3,"""CNR3871541""","""CID9849259"""
1,"""CNR2877692""","""CID5901711"""
3,"""CNR9603633""","""CID5856503"""
0,"""CNR8087051""","""CID9716528"""
2,"""CNR7823292""","""CID9377721"""
2,"""CNR9918895""","""CID9520433"""
1,"""CNR7401001""","""CID9958715"""
0,"""CNR2631310""","""CID4355670"""
3,"""CNR4218487""","""CID3037053"""
4,"""CNR5333099""","""CID5112050"""
0,"""CNR5969954""","""CID5558118"""
3,"""CNR4130953""","""CID3196782"""
1,"""CNR6693125""","""CID7364449"""
3,"""CNR9572979""","""CID3474992"""
0,"""CNR6444364""","""CID8262635"""
0,"""CNR4862806""","""CID7875150"""
1,"""CNR4674790""","""CID4795905"""
1,"""CNR6866217""","""CID7798304"""
4,"""CNR4932611""","""CID8795963"""
0,"""CNR1572483""","""CID6059557"""
2,"""CNR6945858""","""CID9079088"""
1,"""CNR6584679""","""CID4738537"""
1,"""CNR6125653""","""CID2808212"""
4,"""CNR6092529""","""CID5040634"""
2,"""CNR6339107""","""CID7358763"""
0,"""CNR1349015""","""CID9386278"""
4,"""CNR9773309""","""CID9965847"""
2,"""CNR2107544""","""CID1266188"""
1,"""CNR4171959""","""CID8470723"""
0,"""CNR5316307""","""CID1816553"""
1,"""CNR3635865""","""CID6477355"""
2,"""CNR2497989""","""CID5007066"""
3,"""CNR8946337""","""CID6438326"""
4,"""CNR3740694""","""CID5885514"""
4,"""CNR4660896""","""CID5486947"""
1,"""CNR2513330""","""CID7805280"""
3,"""CNR9252424""","""CID9413620"""
1,"""CNR3096031""","""CID3101926"""
3,"""CNR4141159""","""CID6810411"""
2,"""CNR6757829""","""CID8433663"""
2,"""CNR6204326""","""CID9419495"""
1,"""CNR3347993""","""CID4871438"""
1,"""CNR6796311""","""CID1880505"""
2,"""CNR3908312""","""CID8787746"""
1,"""CNR9416323""","""CID1025742"""
3,"""CNR2912296""","""CID8094609"""
3,"""CNR4611314""","""CID6968311"""
0,"""CNR2601752""","""CID9283370"""
1,"""CNR5793527""","""CID5705499"""
4,"""CNR4487090""","""CID1210782"""
1,"""CNR5266935""","""CID2831708"""
2,"""CNR1487489""","""CID3403699"""
3,"""CNR6351034""","""CID2038230"""
4,"""CNR7600870""","""CID7289498"""
3,"""CNR5444321""","""CID3326946"""
2,"""CNR8509610""","""CID8227993"""
3,"""CNR6851549""","""CID9560489"""
4,"""CNR3318044""","""CID4051792"""
2,"""CNR6453539""","""CID6999817"""
1,"""CNR7449144""","""CID8609350"""
3,"""CNR1970319""","""CID6085619"""
3,"""CNR4415815""","""CID8351180"""
1,"""CNR3899082""","""CID5467225"""
4,"""CNR3274519""","""CID3829804"""
4,"""CNR3263958""","""CID3231090"""
0,"""CNR5822542""","""CID1628370"""
4,"""CNR9652983""","""CID4773175"""
4,"""CNR2598306""","""CID5704025"""
1,"""CNR3274827""","""CID3134967"""
4,"""CNR9139265""","""CID4003339"""
0,"""CNR8036415""","""CID9244184"""
2,"""CNR8433849""","""CID7659765"""
3,"""CNR2948784""","""CID7747807"""
0,"""CNR1996806""","""CID2293483"""
4,"""CNR6241612""","""CID5715130"""
4,"""CNR5222120""","""CID2370613"""
3,"""CNR6596872""","""CID2589193"""
3,"""CNR7149058""","""CID7341591"""
3,"""CNR5726463""","""CID3407189"""
2,"""CNR3975551""","""CID2944423"""
0,"""CNR8637930""","""CID8137475"""
2,"""CNR9935095""","""CID7359331"""
4,"""CNR8893726""","""CID8335294"""
2,"""CNR3975051""","""CID5797043"""
1,"""CNR1984811""","""CID6701334"""
1,"""CNR7036055""","""CID7359512"""
0,"""CNR3449107""","""CID8684841"""
3,"""CNR6919653""","""CID5736754"""
0,"""CNR8504461""","""CID3984123"""
3,"""CNR3712671""","""CID5160108"""
3,"""CNR8819329""","""CID6695773"""
2,"""CNR3734278""","""CID6462328"""
2,"""CNR2472864""","""CID7156852"""
3,"""CNR3239651""","""CID9573465"""
4,"""CNR2646387""","""CID8652330"""
0,"""CNR4724814""","""CID1251463"""
3,"""CNR2200152""","""CID6635464"""
0,"""CNR5060137""","""CID2961093"""
0,"""CNR9291876""","""CID9026677"""
1,"""CNR4212658""","""CID5774800"""
1,"""CNR7677229""","""CID8986725"""
3,"""CNR4092218""","""CID5726360"""
2,"""CNR8034979""","""CID1915443"""
3,"""CNR7228014""","""CID3515824"""
0,"""CNR1435581""","""CID1856576"""
2,"""CNR5373942""","""CID7792143"""
0,"""CNR3434703""","""CID3333217"""
0,"""CNR6987620""","""CID3121337"""
1,"""CNR4132145""","""CID5140786"""
1,"""CNR8207805""","""CID6685791"""
4,"""CNR1438443""","""CID5468663"""
3,"""CNR6129081""","""CID2998238"""
0,"""CNR1361929""","""CID9052724"""
2,"""CNR2687237""","""CID4887972"""
2,"""CNR7486337""","""CID8581638"""
2,"""CNR4269906""","""CID9683944"""
3,"""CNR1224347""","""CID5493342"""
4,"""CNR1401386""","""CID2154950"""
1,"""CNR2013487""","""CID4175153"""
2,"""CNR7409512""","""CID5474366"""
1,"""CNR7658099""","""CID8951576"""
0,"""CNR1980045""","""CID9418411"""
2,"""CNR8584951""","""CID2820460"""
1,"""CNR2607733""","""CID5637874"""
2,"""CNR6693847""","""CID6386344"""
3,"""CNR9749627""","""CID3065827"""
0,"""CNR1706908""","""CID1807270"""
3,"""CNR6236514""","""CID3761463"""
2,"""CNR9048385""","""CID5242973"""
3,"""CNR1903168""","""CID1051794"""
1,"""CNR2922907""","""CID4507250"""
2,"""CNR7621341""","""CID1429306"""
4,"""CNR5803828""","""CID1039074"""
4,"""CNR4868713""","""CID2089650"""
4,"""CNR2575334""","""CID7330180"""
1,"""CNR3841045""","""CID1210899"""
2,"""CNR5265040""","""CID3076700"""
