cluster,silhouette,Booking ID,Customer ID
0,-0.073847376,"""CNR5884300""","""CID1982111"""
0,0.5117592,"""CNR1326809""","""CID4604802"""
2,0.5617648,"""CNR8494506""","""CID9202816"""
4,0.39659962,"""CNR8906825""","""CID2610914"""
4,0.04221504,"""CNR1950162""","""CID9933542"""
1,0.2504702,"""CNR4096693""","""CID4670564"""
3,0.515887,"""CNR2002539""","""CID6800553"""
0,0.17899324,"""CNR6568000""","""CID8610436"""
3,-0.039264955,"""CNR4510807""","""CID7873618"""
0,0.49570575,"""CNR7721892""","""CID5214275"""
0,0.55083585,"""CNR9070334""","""CID6680340"""
0,0.5164409,"""CNR9551927""","""CID7568143"""
2,0.18526128,"""CNR4386945""","""CID5543520"""
0,-0.010024467,"""CNR2987763""","""CID2669710"""
0,0.0025418797,"""CNR8962232""","""CID1789354"""
2,0.3953559,"""CNR2390352""","""CID5432215"""
2,0.30646545,"""CNR3221338""","""CID2581698"""
0,0.53889155,"""CNR6739317""","""CID8682675"""
4,0.22341308,"""CNR6126048""","""CID1060329"""
3,0.43606764,"""CNR9465840""","""CID9046501"""
2,0.06381334,"""CNR9843229""","""CID4929303"""
4,0.5387835,"""CNR7911434""","""CID8465004"""
0,0.42228052,"""CNR6178330""","""CID7719678"""
3,0.003311791,"""CNR5309981""","""CID3870048"""
4,0.24879777,"""CNR2978950""","""CID2977484"""
0,0.4361634,"""CNR2806943""","""CID7550481"""
1,0.54323155,"""CNR3614535""","""CID2507102"""
3,0.17907539,"""CNR4499383""","""CID5717521"""
0,0.57815844,"""CNR9834201""","""CID7891331"""
1,0.025472576,"""CNR8779845""","""CID7444351"""
3,0.51078624,"""CNR2178654""","""CID3631860"""
3,0.003966322,"""CNR3871541""","""CID9849259"""
1,0.26307878,"""CNR2877692""","""CID5901711"""
3,0.51710963,"""CNR9603633""","""CID5856503"""
0,0.24721923,"""CNR8087051""","""CID9716528"""
2,0.3896335,"""CNR7823292""","""CID9377721"""
2,0.15965106,"""CNR9918895""","""CID9520433"""
1,0.091514535,"""CNR7401001""","""CID9958715"""
0,0.37341857,"""CNR2631310""","""CID4355670"""
3,0.38693693,"""CNR4218487""","""CID3037053"""
4,0.52495396,"""CNR5333099""","""CID5112050"""
0,0.2531371,"""CNR5969954""","""CID5558118"""
3,0.48124844,"""CNR4130953""","""CID3196782"""
1,0.28709292,"""CNR6693125""","""CID7364449"""
3,0.42506433,"""CNR9572979""","""CID3474992"""
0,0.24468529,"""CNR6444364""","""CID8262635"""
0,0.53472203,"""CNR4862806""","""CID7875150"""
1,0.26956233,"""CNR4674790""","""CID4795905"""
1,0.2685341,"""CNR6866217""","""CID7798304"""
4,0.2690972,"""CNR4932611""","""CID8795963"""
0,0.5502091,"""CNR1572483""","""CID6059557"""
2,0.21632054,"""CNR6945858""","""CID9079088"""
1,-0.074500486,"""CNR6584679""","""CID4738537"""
1,0.037847493,"""CNR6125653""","""CID2808212"""
4,0.5474495,"""CNR6092529""","""CID5040634"""
2,0.13655879,"""CNR6339107""","""CID7358763"""
0,0.1924564,"""CNR1349015""","""CID9386278"""
4,0.54043794,"""CNR9773309""","""CID9965847"""
2,0.2602118,"""CNR2107544""","""CID1266188"""
1,0.007923503,"""CNR4171959""","""CID8470723"""
0,0.5341704,"""CNR5316307""","""CID1816553"""
1,0.50295156,"""CNR3635865""","""CID6477355"""
2,0.13657252,"""CNR2497989""","""CID5007066"""
3,0.3765231,"""CNR8946337""","""CID6438326"""
4,0.49513036,"""CNR3740694""","""CID5885514"""
4,0.39066893,"""CNR4660896""","""CID5486947"""
