cluster,Booking ID,Customer ID
4,"""CNR9907493""","""CID6858115"""
3,"""CNR1653982""","""CID4606212"""
1,"""CNR3151351""","""CID5996744"""
0,"""CNR5839286""","""CID6748555"""
3,"""CNR7329923""","""CID6785564"""
4,"""CNR5096969""","""CID9641648"""
4,"""CNR1876873""","""CID7009586"""
2,"""CNR5989915""","""CID3511989"""
0,"""CNR2199660""","""CID9484653"""
3,"""CNR9224561""","""CID3216643"""
3,"""CNR6004179""","""CID8334788"""
4,"""CNR2848883""","""CID8775285"""
2,"""CNR4912613""","""CID5335845"""
2,"""CNR3091563""","""CID7525082"""
1,"""CNR3829594""","""CID7444128"""
1,"""CNR5919824""","""CID2253436"""
1,"""CNR7419994""","""CID8387084"""
1,"""CNR4275770""","""CID9551356"""
3,"""CNR1249921""","""CID9145303"""
0,"""CNR5390495""","""CID6154940"""
3,"""CNR5952656""","""CID7746814"""
3,"""CNR3751120""","""CID3789660"""
3,"""CNR9067233""","""CID9970241"""
0,"""CNR4065133""","""CID7152206"""
3,"""CNR8228394""","""CID9571170"""
0,"""CNR7610861""","""CID2339913"""
2,"""CNR6736405""","""CID4933879"""
2,"""CNR1688931""","""CID8264700"""
3,"""CNR4088932""","""CID5149871"""
0,"""CNR8628982""","""CID2069972"""
1,"""CNR2194335""","""CID3284539"""
3,"""CNR9684874""","""CID6465816"""
2,"""CNR9079309""","""CID5388220"""
0,"""CNR2639534""","""CID1016051"""
2,"""CNR4508740""","""CID7118319"""
2,"""CNR3604562""","""CID1269661"""
4,"""CNR7519096""","""CID3559169"""
0,"""CNR4613857""","""CID1538213"""
3,"""CNR2075285""","""CID5381731"""
3,"""CNR1863073""","""CID7493644"""
1,"""CNR3784194""","""CID5010079"""
0,"""CNR9567683""","""CID9027959"""
1,"""CNR8092223""","""CID5416957"""
4,"""CNR7161820""","""CID1029421"""
0,"""CNR1607053""","""CID8787616"""
2,"""CNR9718557""","""CID7956726"""
2,"""CNR6118093""","""CID6060730"""
1,"""CNR4112418""","""CID2765971"""
2,"""CNR1404682""","""CID2500945"""
3,"""CNR8801298""","""CID5468184"""
