hour,temperature_2m_pickup,relative_humidity_2m_pickup,dew_point_2m_pickup,precipitation_pickup,snowfall_pickup,wind_speed_10m_pickup,AvgVTAT_missing_flag,DriverRatings_missing_flag,Avg VTAT_fill,Avg CTAT_fill,Booking Value_fill,Ride Distance_fill,Driver Ratings_fill,Customer Rating_fill,Vehicle Type_Bike,Vehicle Type_Go Mini,Vehicle Type_Go Sedan,Vehicle Type_Premier Sedan,Vehicle Type_Uber XL,Vehicle Type_eBike,Vehicle Type
18,26.4,93.0,25.2,0.0,0.0,6.4,0,0,6.3,30.7,219.0,2.78,5.0,5.0,False,True,False,False,False,False,Go Mini
18,26.4,95.0,25.6,0.0,0.0,9.0,0,1,5.9,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
20,28.1,88.0,25.8,0.0,0.0,3.7,0,1,5.6,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
16,14.6,75.0,10.2,0.0,0.0,1.6,0,0,5.9,20.8,226.0,48.89,4.9,4.3,False,True,False,False,False,False,Go Mini
20,21.0,94.0,20.0,0.0,0.0,6.6,0,0,7.7,38.0,961.0,13.38,4.5,4.8,False,True,False,False,False,False,Go Mini
12,29.1,68.0,22.5,0.0,0.0,17.3,0,0,10.9,29.4,72.0,47.44,3.8,4.7,False,False,False,True,False,False,Premier Sedan
20,33.5,32.0,14.7,0.0,0.0,14.4,0,0,2.1,21.2,122.0,47.1,4.2,4.6,False,False,False,False,False,False,Auto
15,38.7,6.0,-5.7,0.0,0.0,13.8,0,0,8.5,37.1,102.0,27.57,4.5,4.8,False,False,True,False,False,False,Go Sedan
9,20.5,30.0,2.6,0.0,0.0,9.7,0,0,11.1,40.5,488.0,33.62,4.4,4.3,False,False,False,False,False,False,Auto
14,8.6,85.0,6.2,0.0,0.0,8.0,0,1,5.9,29.173641331849,508.02398542657625,24.611863171743753,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
2,23.7,64.0,16.6,0.0,0.0,9.6,0,0,3.4,25.2,400.0,32.09,4.3,4.2,False,True,False,False,False,False,Go Mini
20,30.8,23.0,7.2,0.0,0.0,9.6,0,1,9.8,29.173641331849,508.02398542657625,24.611863171743753,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
13,29.7,75.0,24.7,0.0,0.0,3.1,0,0,12.9,31.3,132.0,35.09,4.6,4.9,False,False,False,True,False,False,Premier Sedan
12,16.5,64.0,9.7,0.0,0.0,10.1,0,0,10.3,31.5,276.0,33.41,4.2,4.5,False,False,False,False,False,False,Auto
16,24.2,69.0,18.2,0.0,0.0,7.7,1,1,8.400261598201512,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
8,32.1,44.0,18.5,0.0,0.0,10.4,1,1,8.443825503355704,29.210539523212045,509.4071936428273,24.646159765788376,4.234065732857275,4.404009887393572,False,False,False,True,False,False,Premier Sedan
20,19.1,57.0,10.3,0.0,0.0,9.7,0,1,11.2,29.13119284616007,506.7431820021041,24.618638423565592,4.231947036345864,4.4025459877366035,False,False,False,False,False,False,Auto
21,6.8,95.0,6.0,0.0,0.0,5.4,0,1,10.1,29.210539523212045,509.4071936428273,24.646159765788376,4.234065732857275,4.404009887393572,False,False,False,True,False,False,Premier Sedan
16,27.0,85.0,24.3,0.0,0.0,9.3,0,0,4.9,34.4,709.0,36.44,4.6,4.6,False,False,False,False,False,False,Auto
12,23.0,83.0,19.9,0.2,0.0,20.9,0,0,3.2,43.4,752.0,15.9,4.6,4.6,False,False,False,False,False,False,Auto
11,22.2,44.0,9.5,0.0,0.0,16.2,0,0,2.7,18.0,507.0,41.4,3.9,3.8,True,False,False,False,False,False,Bike
10,40.6,25.0,16.9,0.0,0.0,9.1,0,1,4.4,29.23264476803251,503.83101930240434,24.48038266169997,4.238222222222222,4.404481481481481,False,False,False,False,True,False,Uber XL
19,24.4,23.0,2.1,0.0,0.0,5.1,0,1,2.4,29.2,718.0,9.51,4.22735351291308,4.404970841432935,False,True,False,False,False,False,Go Mini
18,21.3,85.0,18.6,0.0,0.0,7.9,0,1,8.8,29.02648484165446,510.87715541530486,24.56676434126,4.232220294882914,4.408784537232066,False,False,True,False,False,False,Go Sedan
18,20.1,47.0,8.5,0.0,0.0,1.5,0,0,6.7,23.6,436.0,29.46,4.8,4.8,False,True,False,False,False,False,Go Mini
